epsilon_r,lambda_tf,operational status
3.95,9.2,0
9.15,9.75,0
8.5,2.85,0
4.75,2.25,0
9.3,2.8,0
9.8,9.4,0
9.5,3,0
8.05,9.5,0
5.1,4.35,0
4.65,7.4,0
5.05,3.85,0
1.5,7.8,0
1.15,2.9,0
8.3,3.1,0
1.6,3.85,0
1.9,9.9,0
2.3,5.6,0
6.05,5.75,0
6.2,1.4,0
1.85,6.1,0
4.25,3.7,0
2.3,4.35,0
6.65,7.2,0
8.7,8.45,0
5.85,5.55,0
9.9,1.2,0
8.85,5.05,0
3.55,3.45,0
2.9,1.65,0
4.15,7,0
3.05,2.7,0
7.75,6.25,0
3.85,9.8,0
7.3,9.25,0
3.45,4.6,0
8.6,6,0
4.15,5.95,0
4,7.7,0
1.05,1.9,0
8.2,3.3,0
4.6,5.8,0
6.5,9.95,0
4.85,9.05,0
9.4,9.1,0
1.05,8.9,0
6.4,1.75,0
6.7,6,0
9.35,1.9,0
6.95,9.25,0
5.65,2.6,0
9.65,5.05,0
3.2,1.7,0
6.25,9.7,0
9.4,3.75,0
7.1,3.65,0
3.15,9.55,0
5.1,5.55,0
4.7,8.6,0
3.3,4.65,0
8.25,3.05,0
6.8,6.55,0
1,3.8,0
4.6,7.2,0
6.6,9.15,0
7.65,9,0
6.75,4.4,0
3.65,2.6,0
8.4,3.3,0
2.1,4.15,0
8.15,3.85,0
9.3,7.5,0
9.6,9.9,0
6.7,5.8,0
2.15,2.15,0
8.25,7,0
1.45,6.2,0
5.25,6.8,0
6,2.95,0
9.85,7.95,0
5.5,8.75,0
2.15,1.2,0
3.15,7.3,0
1.35,4.55,0
5.25,9.2,0
6.15,1.35,0
5.15,7.85,0
5.15,3.2,0
7.7,8,0
5.5,7.15,0
6.9,5.35,0
8.55,9.65,0
4.9,2.35,0
7.6,6.8,0
8.35,9.4,0
7.4,1,0
3,4.85,0
5.15,2.4,0
4.25,1.1,0
4.4,9.1,0
5.05,8,0
