epsilon_r,lambda_tf,operational status
6.75,6.1,1
5.15,5.05,1
6.55,3.6,0
5.75,4.65,0
5.2,5.85,0
2.15,8.05,0
5.75,6.15,0
7.85,6.65,0
6.35,6.1,1
6.55,5.55,0
6.65,5.75,0
5.45,4.65,0
4.65,4.8,1
6.7,5.75,0
5.7,2.3,0
6.05,4.65,0
6.15,4.8,0
4.1,4.7,0
6.75,6,1
6.2,4.85,0
4.45,7.6,0
6.85,6.3,1
4.95,5.05,1
6.95,6.35,0
5.25,9.05,0
6.05,4.75,0
4.8,5.05,1
5.75,4.7,1
5.2,4.65,0
8,9.75,0
4.9,5.35,0
5.3,5.25,1
6.05,5.75,1
5.85,5.75,1
5.55,5.75,1
5.55,4.65,0
6.1,4.8,0
3.2,8.25,0
1.1,2.2,0
5.9,5.75,1
6.9,6.3,0
3.75,5.25,0
4.85,5.35,0
6.65,5.7,0
6.55,5.5,0
6.2,4.9,0
5.4,6.15,0
5.45,6.15,0
4.95,5.5,0
6.8,6.2,1
8.8,9.7,0
6.6,5.6,0
6.5,6.1,1
4.65,4.65,0
6.35,6.15,0
6.3,5.1,0
5.55,4.7,1
5.45,8.75,0
5.15,5.8,0
8.65,5.55,0
4.9,5.05,1
5.75,6.1,1
5.1,4.7,1
3.7,5.85,0
6.25,7.5,0
3.55,8.05,0
2.1,5.8,0
5.45,5.75,1
5.05,5.55,0
5.5,6.15,0
4.9,4.65,0
5.55,6.15,0
5.1,4.65,0
5.1,5.75,0
5.25,6,0
8.75,1.5,0
5.15,5.7,1
5.35,6.15,0
8.45,6.2,0
1.6,5.1,0
6.5,5.45,0
5.05,5.05,1
5.95,5.75,1
5.2,5.25,1
6.25,6.1,1
6.7,6.15,0
6.55,6.15,0
9.6,8.75,0
4.95,5.4,0
4.8,4.7,1
4.75,4.7,1
5.35,6.05,1
3,1.2,0
4.7,5,0
6.3,5.05,0
4.6,4.7,1
4.65,4.7,1
1.35,7.55,0
4.7,5.1,0
4.5,5.15,0
6.6,5.55,0
5.3,6,0
6.55,5.6,1
5.95,4.65,0
