epsilon_r,lambda_tf,operational status
5.65,5.5,1
6.75,6.1,1
5.15,5.1,1
5.8,5,1
1.3,1.35,0
5.5,4.75,1
6.35,6.1,1
1.1,5.75,0
6.85,2.4,0
5.65,4.95,1
5.55,5.85,1
5.25,5.45,1
5.15,6.4,0
6.55,5.8,1
9.9,2.1,0
5.15,5.05,1
6.55,5.55,0
4.2,6.65,0
5.6,6.05,1
6.65,5.75,0
4.9,5.2,1
5.4,5.9,1
6.7,5.75,0
5.95,5.8,1
5.15,5.45,1
5.7,4.85,1
6.15,4.8,0
5.8,5.2,1
6.3,5.9,1
5.35,4.95,1
4.75,4.75,1
4.75,4.9,1
5.6,5.65,1
4.95,5.05,1
5.8,5.65,1
4.65,4.8,1
5.6,5.85,1
5.1,4.95,1
6.5,5.9,1
1.5,3.1,0
6.65,6,1
7.1,3.1,0
6.15,7.15,0
4.85,4.85,1
6.05,4.65,0
5.45,5,1
9.2,9.35,0
5.1,4.75,1
6.5,6,1
6.85,6.3,1
5.75,4.65,0
6.1,5.7,1
5.2,5.85,0
5.75,6.15,0
5.45,4.65,0
9.85,8.65,0
5.6,5.25,1
6.05,5.2,1
6.75,6,1
9.05,7.35,0
6.2,4.85,0
4.45,5.85,0
6,5.5,1
4.95,5.1,1
6.35,6,1
5.85,5.3,1
5.75,4.9,1
2.25,6.4,0
5.55,5.15,1
6.35,5.7,1
6.05,4.75,0
5.75,4.7,1
5.05,5.1,1
5.5,7.9,0
6.3,5.65,1
5.4,5.65,1
6.95,6.35,0
9.75,8.85,0
6.9,7.9,0
5.65,5.9,1
6.25,5.85,1
6.15,5.65,1
5,5.3,1
5.65,6,1
5.45,5.4,1
5.65,4.75,1
4.85,5.35,0
6.9,6.3,0
5,5.35,1
6.35,5.9,1
5.45,6.05,1
10,3.4,0
6.6,6.65,0
6,5.85,1
5.3,5.25,1
6.25,6.05,1
5.85,5.75,1
6.4,6.05,1
5.3,5.45,1
6.3,2.35,0
5.3,4.8,1
4.9,5.35,0
6,5,1
5.8,4.75,1
6.3,5.8,1
6.45,5.8,1
6.1,4.8,0
4.1,9.05,0
5.7,5.2,1
6.35,5.3,1
5.55,4.65,0
4.85,5,1
6,5.3,1
5.25,4.95,1
5.25,5.05,1
6.2,5.8,1
7.75,4.05,0
5.5,5.15,1
5.15,4.95,1
3.75,2.55,0
5.2,5.65,1
4.8,5.05,1
5.1,4.8,1
8.65,5.85,0
7.95,2,0
1.4,3,0
6.15,6.05,1
6.3,5.6,1
5.8,5.7,1
5.9,5.75,1
5.5,5.2,1
6.65,5.7,0
5.25,5.3,1
4.7,4.8,1
6.25,5.55,1
1.05,3.35,0
5.2,4.65,0
9,9.75,0
5.45,6,1
6.05,5.75,1
5.55,5.75,1
5,5.2,1
6.05,4.85,1
5.3,5.8,1
5.75,5.45,1
6.55,6,1
5.5,5.55,1
5.05,5.15,1
6.2,4.9,0
4.9,5.6,0
5.45,6.15,0
5.6,5.7,1
5.35,5.2,1
5.65,4.8,1
5.25,5.6,1
5.4,6.05,1
4.95,5.5,0
6.1,5.25,1
6.6,5.6,0
4.65,4.65,0
6.5,6.1,1
5.5,5.8,1
5.35,2.7,0
5.95,5.65,1
9.85,9.75,0
5.3,5.6,1
6.05,5.6,1
1.35,9.75,0
5.5,5.4,1
6.6,5.8,1
5.6,5.45,1
5.1,4.7,1
6.25,5.9,1
3.6,1.1,0
6.05,6.05,1
5.75,4.75,1
5.5,6.15,0
5.75,5.55,1
5.05,5.55,0
4.9,4.65,0
5.55,6.15,0
5.1,4.65,0
5.1,5.75,0
5.15,5.7,1
6.55,5.5,0
5.65,5.65,1
3.05,9.8,0
4.9,7.15,0
5.4,6.15,0
5.4,5.15,1
4.9,5,1
6.35,5.45,1
5.75,4.8,1
4.8,4.85,1
5.45,5.65,1
6.8,6.2,1
6.25,5.6,1
6.35,6.15,0
5.9,5.95,1
5.5,5.85,1
2.25,7.1,0
5.4,5.45,1
5.5,5.1,1
6.1,5.85,1
6.3,5.3,1
6.3,5.1,0
5.55,4.7,1
6.05,5.5,1
5.3,5.35,1
5.7,6.05,1
5.15,5.8,0
4.9,5.05,1
5.75,6.1,1
5.85,5.55,1
5.95,5.2,1
6.7,2.6,0
5.45,5.75,1
6.65,5.95,1
5.95,6.05,1
5.8,5.6,1
5.5,5.5,1
5.8,2.65,0
5.3,5.1,1
6.5,5.75,1
6.3,5.2,1
5.95,5.55,1
5.9,5.65,1
5.25,6,0
4.85,4.8,1
5.55,5.5,1
6.05,5.9,1
7.35,5.85,0
6.55,5.85,1
5.45,4.9,1
6.05,5.65,1
5.75,5.15,1
2.65,6.55,0
5.35,6.05,1
6.4,5.45,1
8.75,7.55,0
4.25,4.6,0
7.35,9.85,0
4.55,2.45,0
5.25,5.1,1
5.6,5.95,1
1.15,7.6,0
4.85,3.95,0
7,8.5,0
6.15,5.95,1
5.2,6.95,0
4.9,4.95,1
6.1,5.65,1
2.55,2.4,0
6.05,4.95,1
5.7,4.95,1
5.6,4.75,1
6.2,5.05,1
1.45,4.45,0
5.9,5.2,1
6.55,6.15,0
4.95,5.15,1
5.95,6.3,0
5.7,4.9,1
7.7,4.2,0
5.75,5.3,1
6.3,5.05,0
5.5,5.6,1
5.35,4.9,1
4.65,4.7,1
4.6,4.7,1
4.85,6.3,0
5.35,6.15,0
4,4.9,0
5.75,5.05,1
5.05,5.05,1
5.2,5.25,1
7.3,8.3,0
8.35,4.7,0
5.2,5.3,1
6.2,5.1,1
2.95,8.85,0
5.35,5.85,1
6.55,5.75,1
4.95,5.4,0
3.2,5,0
5.95,6,1
6.7,6.15,0
5.35,5.7,1
4.75,4.7,1
5.8,4.8,1
4.7,5,0
6,5.4,1
5.4,4.85,1
6.5,5.45,0
1.7,5.2,0
2.2,8.4,0
5.85,5.05,1
5.7,5,1
5.05,4.9,1
2.55,4.2,0
5.95,5.75,1
6.65,5.9,1
5.5,5.25,1
6.25,6.1,1
5.4,4.9,1
5.25,5.4,1
5.15,4.85,1
6.2,5.5,1
5.1,5.1,1
4.8,4.7,1
1.75,9.15,0
6.5,5.65,1
4.6,4.6,0
5.6,5.55,1
4.7,5.1,0
4.8,10,0
6.45,5.6,1
5.4,5.25,1
8.55,9.35,0
5.95,4.65,0
6.4,5.6,1
6.4,5.3,1
1.25,8.4,0
6.4,5.35,1
6.25,5.5,1
5.05,4.95,1
5.75,5.95,1
5.15,5.3,1
5.3,4.75,1
5.7,5.65,1
5.4,5.3,1
6.65,5.65,0
1.5,5.95,0
4.85,4.95,1
6.25,5.2,1
3.75,5.7,0
6.2,6,1
6.35,6.05,1
5.35,5.1,1
5.85,5.85,1
6.55,5.6,1
6.6,5.55,0
5.95,5,1
6.1,5.45,1
6,5.8,1
5.1,4.85,1
6.2,5.45,1
6.65,5.85,1
1.05,4.7,0
6,4.7,1
5.05,5,1
5.7,4.5,0
6.25,5.65,1
5.6,5.75,1
5.75,5.65,1
6.2,5.55,1
7.75,5.75,0
6.95,6.3,0
9.55,6.8,0
6.1,4.95,1
5.85,5.35,1
5.15,5.15,1
6.15,5.45,1
6.3,5.5,1
6.45,5.5,1
5.95,5.85,1
5.95,5.15,1
9.65,7.5,0
6.4,7.5,0
6.2,5.2,1
5.5,4.9,1
5.65,5.35,1
6.15,5.35,1
5.3,6,0
5.25,5.2,1
5.5,5.65,1
6.2,5.85,1
5.5,6.05,1
5.95,5.4,1
5.2,5.15,1
5.9,4.95,1
6,5.75,1
5.55,4.9,1
5.15,4.9,1
5.95,4.85,1
7.7,2.05,0
6.05,5.05,1
6.05,5.35,1
3.9,9,0
5,5.25,1
5.15,7.4,0
1.8,6.45,0
6.15,5.6,1
6.05,5.15,1
7.2,6.35,0
6.1,5.4,1
5.2,5.35,1
5.25,5,1
5.75,5.2,1
4.9,5.4,0
5.6,5.1,1
9.25,6.05,0
6.05,5.4,1
6.55,6.1,1
6.7,6.05,1
6.7,5.9,1
5.45,5.9,1
5.95,5.5,1
5.55,5.45,1
5.45,5.55,1
5.55,5.8,1
7.4,5.4,0
4.9,4.7,1
5.9,5.8,1
6.2,4.75,0
5.95,5.45,1
5,5.15,1
4.75,4.95,1
6.2,4.95,0
6.15,5.9,1
9.8,2.05,0
6.2,6.05,1
