epsilon_r,lambda_tf,mu_minus,operational status
8.25,6.05,-0.2525,1
9.1,6.25,-0.23,1
6.45,7.1,-0.3375,1
5.65,6.15,-0.375,1
4.85,4.35,-0.3525,1
9.75,3.8,-0.1575,1
9.55,2.95,-0.1275,1
7.75,7.35,-0.29,1
7.35,4.7,-0.2475,1
7.25,4.2,-0.23,1
8.3,5.9,-0.245,1
5.05,5.45,-0.38,1
7.35,6.2,-0.2875,1
3.8,2.9,-0.32,1
5.15,3,-0.225,1
8.8,4.5,-0.195,1
6,7.2,-0.365,1
9.7,7.35,-0.23,1
9.9,6.1,-0.2125,1
3.55,4.25,-0.465,1
7.45,4.65,-0.2375,1
5.35,3.95,-0.2975,1
8.25,7.3,-0.2725,1
6.95,2.65,-0.1425,1
6.9,6.05,-0.2925,1
7.25,7.35,-0.3075,1
7.65,6.45,-0.275,1
9.55,7.75,-0.24,1
3.5,4.15,-0.4675,1
8,8.45,-0.2975,1
6.75,5.35,-0.285,1
7.3,7.95,-0.3175,1
4.15,4.7,-0.4075,1
8.2,9.2,-0.3075,1
4.15,3.35,-0.335,1
6.75,9.85,-0.375,1
4.9,2.5,-0.2,1
6.45,7.45,-0.3525,1
3.8,3.1,-0.3425,1
7.85,2.45,-0.11,1
4.45,6.55,-0.4775,1
7.3,2.65,-0.1325,1
4.85,7.2,-0.46,1
4.15,5.35,-0.4775,1
9.85,9.05,-0.255,1
6.45,4.75,-0.275,1
4.15,4.1,-0.3825,1
8.1,5.95,-0.2525,1
4.45,5.15,-0.405,1
8.65,2.9,-0.135,1
6.35,5.05,-0.285,1
6.05,4.45,-0.27,1
7.1,7.7,-0.325,1
8.45,4.95,-0.2125,1
5.25,4.55,-0.325,1
4.45,2.85,-0.2425,1
7.45,4.95,-0.2375,1
6,5.4,-0.325,1
4.4,3.75,-0.35,1
7.4,8.15,-0.32,1
9.95,5.6,-0.2,1
9.9,6.25,-0.215,1
6.3,7.45,-0.355,1
9.25,5.05,-0.195,1
6.55,9.65,-0.385,1
8.05,7.45,-0.28,1
8.15,5.05,-0.2225,1
4.6,4.7,-0.3675,1
4.05,3,-0.3,1
5.2,8.15,-0.45,1
4.15,5.5,-0.48,1
5.65,4.5,-0.295,1
9.95,9.1,-0.25,1
6.45,7.8,-0.3675,1
4,2.65,-0.23,1
6.5,7.55,-0.3575,1
9.85,7.4,-0.2375,1
