epsilon_r,lambda_tf,mu_minus,operational status
7.3,4.95,-0.25,1
9.7,4.85,-0.155,1
6.05,5,-0.335,1
7.05,5,-0.205,1
3.95,4.95,-0.3925,1
7.8,5.05,-0.2325,1
4.25,4.9,-0.38,1
4.85,4.9,-0.3475,1
9.3,5,-0.215,1
10,4.8,-0.1575,1
9.35,4.8,-0.145,1
3.55,4.85,-0.455,1
8.85,4.95,-0.175,1
9.1,5.05,-0.2225,1
3.8,5,-0.41,1
8,4.95,-0.22,1
4.1,4.85,-0.4075,1
3.5,4.9,-0.46,1
3.5,4.9,-0.4475,1
4.05,5,-0.38,1
8.25,4.8,-0.17,1
4.4,4.8,-0.41,1
3.4,4.9,-0.3925,1
7.7,4.85,-0.24,1
5.3,5,-0.36,1
3.8,4.8,-0.4975,1
3.8,4.95,-0.4925,1
5.55,4.8,-0.235,1
7,4.95,-0.2675,1
4.15,4.85,-0.315,1
3.7,4.95,-0.3925,1
4.4,4.85,-0.415,1
7.6,4.85,-0.2675,1
8.55,5,-0.1575,1
3.3,4.8,-0.395,1
5.1,4.9,-0.375,1
6.95,4.8,-0.2575,1
4.6,4.8,-0.3975,1
5.8,4.8,-0.245,1
4.1,4.95,-0.3275,1
8.35,4.8,-0.1725,1
3.95,4.85,-0.3675,1
8.85,5,-0.1975,1
7.7,4.9,-0.255,1
7.2,4.8,-0.2175,1
3.9,4.95,-0.43,1
3.95,4.9,-0.39,1
9.25,4.85,-0.205,1
5.1,5.05,-0.295,1
7.1,4.8,-0.265,1
6.95,4.95,-0.2075,1
3.6,4.85,-0.395,1
3.6,4.8,-0.395,1
3.1,4.8,-0.4175,1
3.4,4.8,-0.485,1
7.25,4.85,-0.2675,1
6.6,4.85,-0.285,1
4.8,5,-0.32,1
3.35,4.95,-0.4925,1
6,4.95,-0.2825,1
6.8,4.8,-0.2225,1
6.95,4.9,-0.2225,1
8.65,4.9,-0.23,1
9.35,4.8,-0.21,1
7.1,4.85,-0.22,1
5.45,4.9,-0.2625,1
4.25,4.85,-0.4575,1
3.9,4.8,-0.4875,1
8.75,4.35,-0.225,1
3.9,5.05,-0.375,1
7.5,4.9,-0.265,1
3.7,4.9,-0.495,1
4.85,4.8,-0.2975,1
4.55,4.95,-0.345,1
8.4,4.95,-0.1975,1
7.6,5.05,-0.2675,1
6.7,5,-0.2675,1
8.65,4.9,-0.225,1
7.2,5.05,-0.255,1
7,4.95,-0.275,1
7.15,4.95,-0.245,1
3.35,4.9,-0.455,1
4.35,4.95,-0.46,1
8.4,5,-0.1925,1
6.7,4.85,-0.265,1
9.8,4.9,-0.145,1
3.95,4.8,-0.3725,1
7.3,4.8,-0.2125,1
3.95,5,-0.4075,1
4.6,5,-0.3125,1
6.75,4.9,-0.2275,1
7.05,4.9,-0.2,1
4.1,4.85,-0.3975,1
4.85,4.8,-0.2825,1
6.75,4.95,-0.2875,1
3.6,5.05,-0.445,1
7.55,4.95,-0.2325,1
2.9,4.8,-0.5,1
8.75,4.95,-0.1925,1
3.85,5.05,-0.49,1
9.45,4.8,-0.1875,1
6.2,4.9,-0.3325,1
6.7,4.8,-0.25,1
7.1,4.85,-0.2025,1
6.3,4.95,-0.3,1
7.5,4.9,-0.245,1
7.55,5,-0.2525,1
5.4,5.05,-0.3175,1
4.3,4.9,-0.435,1
9.5,4.85,-0.1425,1
7.1,4.85,-0.1975,1
3.15,4.9,-0.4275,1
3.85,4.8,-0.3425,1
4.2,5,-0.47,1
3.1,5,-0.46,1
3.45,5,-0.43,1
5.25,4.85,-0.3175,1
7.15,5.05,-0.2325,1
9.25,4.9,-0.165,1
8.15,4.9,-0.19,1
5.95,4.85,-0.3,1
8.3,4.95,-0.195,1
8.25,5.05,-0.2375,1
8.75,5,-0.23,1
3.7,4.9,-0.4225,1
8.65,4.95,-0.2275,1
4.3,5.05,-0.3725,1
5.05,4.85,-0.325,1
4.7,4.85,-0.4,1
7.7,4.9,-0.2375,1
8.3,4.8,-0.235,1
6.55,4.95,-0.21,1
3.15,5,-0.4425,1
8.7,5,-0.16,1
4.9,4.8,-0.4025,1
4.95,4.8,-0.3425,1
8.6,5.05,-0.1875,1
4.65,5,-0.44,1
3.2,5,-0.4325,1
9,5.05,-0.1725,1
9.75,4.8,-0.15,1
5.05,4.85,-0.2625,1
9.3,4.8,-0.1575,1
9,4.9,-0.195,1
6.6,5.05,-0.245,1
7.3,4.9,-0.2575,1
5.7,4.95,-0.28,1
5.7,4.9,-0.235,1
9.8,5.05,-0.1875,1
8.3,4.8,-0.2225,1
4.15,5.05,-0.4975,1
4.2,5.05,-0.355,1
4.15,5.05,-0.465,1
5.7,5.05,-0.27,1
8.2,4.85,-0.1925,1
8.1,5.05,-0.24,1
