epsilon_r,lambda_tf,mu_minus,operational status
9,7.8,-0.2425,1
5.05,8.95,-0.4575,1
5.7,10,-0.4325,1
5.9,6.45,-0.3575,1
4.45,4.4,-0.3725,1
5.05,6.7,-0.4025,1
7.9,8,-0.285,1
9.95,7.05,-0.215,1
7.55,6.35,-0.2625,1
3.35,2.8,-0.395,1
7.75,3.1,-0.185,1
8,4.8,-0.2175,1
7.05,8.5,-0.3225,1
5,4.85,-0.39,1
7.3,8.15,-0.3175,1
4.35,5.3,-0.44,1
8,1.95,-0.1225,1
5.55,3,-0.2525,1
8.35,7.1,-0.26,1
7.3,4.25,-0.245,1
5,4.15,-0.3525,1
3.8,5.1,-0.4825,1
6.75,9.75,-0.365,1
6.05,9.3,-0.3875,1
6.5,6.8,-0.3325,1
6.15,8.85,-0.39,1
5.85,3.95,-0.2925,1
5.7,7.05,-0.3875,1
6.1,8.45,-0.3875,1
5.6,9.85,-0.4275,1
5.45,7.4,-0.395,1
3,1.8,-0.305,1
4.55,7.15,-0.4725,1
4.7,8.55,-0.485,1
5.15,9.4,-0.4775,1
8,9.1,-0.3025,1
8.45,7.7,-0.265,1
8.6,6.8,-0.24,1
9.65,4.25,-0.185,1
6.55,7.15,-0.3325,1
5.9,6.9,-0.37,1
8.7,9.65,-0.2775,1
6.5,9.3,-0.37,1
7.7,9.7,-0.3125,1
7.05,9.85,-0.355,1
4.6,5.7,-0.43,1
6.5,5.8,-0.3,1
5.05,9,-0.465,1
7.3,6.35,-0.2725,1
5.55,4.15,-0.29,1
6,9,-0.395,1
5.3,9.1,-0.4525,1
7.95,5.4,-0.24,1
6.95,5.05,-0.255,1
9.1,6.3,-0.2225,1
7.5,7.45,-0.2825,1
4.9,8.8,-0.485,1
6.35,8.75,-0.3725,1
6.55,4.35,-0.2525,1
8.5,9,-0.2775,1
4.9,8.7,-0.47,1
8.7,6.15,-0.235,1
9.35,8.55,-0.2475,1
6.55,9.55,-0.375,1
6.8,5.9,-0.285,1
7.3,8.7,-0.3125,1
5.75,5.9,-0.3475,1
4.85,7.85,-0.4525,1
4.7,7.5,-0.475,1
6.15,7.1,-0.36,1
3.45,4.6,-0.4925,1
4.7,6.5,-0.4475,1
4.75,4.9,-0.385,1
5.45,5.15,-0.33,1
8.5,2.4,-0.1325,1
5.1,9.45,-0.485,1
5.75,8.3,-0.405,1
3.1,1.95,-0.315,1
5.05,5.85,-0.3825,1
3.85,5.4,-0.485,1
7.05,8.8,-0.3325,1
7.7,7.25,-0.285,1
4.95,5.25,-0.3675,1
5.75,9.65,-0.4175,1
4.8,7.1,-0.4375,1
9.6,4.2,-0.185,1
9.2,4.9,-0.2125,1
8.3,9.65,-0.29,1
7.35,9.6,-0.3325,1
6.65,7.55,-0.3225,1
5,5.05,-0.3575,1
2.1,2.15,-0.5,1
6.15,9.8,-0.405,1
9.3,8.55,-0.245,1
3.55,3.55,-0.4475,1
8.45,8.2,-0.2675,1
5.9,8.6,-0.4025,1
7.35,5.7,-0.2675,1
9.15,9.6,-0.26,1
10,8.65,-0.23,1
8.5,6.6,-0.2475,1
9.2,6.4,-0.2175,1
5.75,5.75,-0.34,1
5.75,7.1,-0.385,1
4.9,5.5,-0.39,1
6.35,4.05,-0.25,1
6.55,9.9,-0.365,1
5.25,9.1,-0.445,1
6.05,9.4,-0.4,1
7.6,8.1,-0.2975,1
4.95,4.7,-0.3825,1
9.25,7.75,-0.2325,1
5,9.6,-0.4725,1
9.45,8.2,-0.2425,1
9.2,5.5,-0.2075,1
4.85,6.15,-0.4225,1
5.7,4.45,-0.32,1
5.1,8.25,-0.445,1
3.9,2,-0.255,1
7.7,5.7,-0.255,1
2.45,2,-0.415,1
5.55,8.3,-0.41,1
3.8,4.45,-0.44,1
8.1,5.45,-0.2325,1
4.35,4.15,-0.3675,1
6.55,5.9,-0.2975,1
4.85,9.5,-0.495,1
8.15,6.85,-0.2625,1
5.35,8.65,-0.435,1
6.85,8.05,-0.3275,1
5.9,8,-0.395,1
7.25,6.3,-0.2775,1
5.4,7.75,-0.4025,1
6.6,3.25,-0.21,1
9.05,7.45,-0.245,1
5.25,5.15,-0.35,1
6.95,4.35,-0.2625,1
7.9,5.3,-0.235,1
7.6,5,-0.235,1
7.2,5.6,-0.2625,1
3.95,5.55,-0.49,1
6.8,5.75,-0.2825,1
8.15,3.4,-0.1875,1
5.6,5.05,-0.3525,1
7.55,4.65,-0.2525,1
9.8,6.05,-0.205,1
7.7,9.75,-0.315,1
4.8,9.3,-0.4975,1
4.75,7.4,-0.455,1
3.05,2.7,-0.4225,1
5.05,6.4,-0.3925,1
4.65,2.95,-0.2975,1
6.7,7.65,-0.3375,1
4.8,5.65,-0.4075,1
6.9,5.6,-0.275,1
6.85,5.45,-0.2775,1
5.8,5.6,-0.335,1
9.9,9.7,-0.2475,1
7.8,5.75,-0.25,1
8.65,6.9,-0.2475,1
6,7.6,-0.36,1
6.85,5.2,-0.2925,1
5.65,7,-0.38,1
6.3,6.3,-0.325,1
5.65,7.15,-0.37,1
6.95,5.7,-0.285,1
5.2,6.05,-0.3725,1
8.9,4.4,-0.205,1
5,8.9,-0.4625,1
7,6.35,-0.2925,1
7.5,9,-0.3075,1
8.95,8.65,-0.2675,1
6.4,6.8,-0.3375,1
4.75,7.1,-0.465,1
6.45,9.15,-0.3625,1
9.9,8.2,-0.225,1
8.9,6,-0.22,1
6.85,7.45,-0.315,1
6.15,5.95,-0.3125,1
4.85,9.3,-0.5,1
5.9,5.15,-0.305,1
5,6.1,-0.3975,1
3.95,4.7,-0.48,1
5.15,6.75,-0.405,1
6.35,9.7,-0.375,1
6.75,6.7,-0.3,1
4.4,4.4,-0.415,1
5.8,6.5,-0.3575,1
7.6,5.45,-0.2525,1
4.55,7.6,-0.4775,1
4.85,6.8,-0.44,1
7.55,7,-0.275,1
9.05,8.1,-0.25,1
4.9,8.45,-0.4725,1
4.6,6.45,-0.4475,1
6.3,7.25,-0.3425,1
8.4,2.15,-0.125,1
8.3,6.45,-0.2475,1
5.2,6.65,-0.395,1
7.6,7.9,-0.2875,1
6.35,8.2,-0.365,1
7.65,5.2,-0.245,1
7.8,7.1,-0.275,1
3.75,5.5,-0.4975,1
9.8,7.6,-0.2225,1
9.35,6.95,-0.235,1
6.75,7.05,-0.315,1
7.45,5.45,-0.2475,1
6.6,4.1,-0.265,1
8.55,6.6,-0.2375,1
5.2,5.55,-0.3575,1
6.5,4.7,-0.29,1
5.8,6.55,-0.35,1
9,9.2,-0.2625,1
5.2,7.3,-0.43,1
5.25,6.55,-0.4,1
4.85,7.8,-0.4525,1
8.55,9.6,-0.285,1
6.2,8.55,-0.38,1
4.3,4.95,-0.4525,1
5.5,5,-0.3225,1
7.45,8.05,-0.3025,1
8,6.15,-0.2575,1
7.5,4.25,-0.2175,1
6.05,8.8,-0.385,1
6.35,9.95,-0.3875,1
4.8,6.9,-0.4425,1
6,2.5,-0.2025,1
7.3,7.1,-0.29,1
5.7,5.6,-0.33,1
6.15,8.5,-0.37,1
6.6,8.6,-0.3425,1
5.65,2.8,-0.235,1
9.65,5.95,-0.21,1
7.15,9.9,-0.3425,1
4.45,6.55,-0.48,1
5.5,9.6,-0.4425,1
3.75,4.95,-0.4875,1
9.25,8.7,-0.255,1
9.45,5.4,-0.2,1
5.35,7.05,-0.405,1
4.55,5.6,-0.42,1
5.85,9.7,-0.42,1
8.6,8.95,-0.2775,1
9.45,8.8,-0.245,1
5.35,8.65,-0.43,1
9.75,4.75,-0.1975,1
8.15,9.1,-0.2975,1
9.3,8.15,-0.25,1
9.35,7.7,-0.2425,1
5.1,3.85,-0.33,1
6,4.8,-0.3225,1
5.55,8.15,-0.4125,1
9.85,4.6,-0.1725,1
7.1,8.8,-0.3375,1
5.3,9.8,-0.455,1
4.4,6.9,-0.4875,1
5.45,3.35,-0.28,1
5.1,9.6,-0.4675,1
4.55,7.9,-0.4975,1
4.95,5.3,-0.3825,1
3.95,4.05,-0.44,1
3.5,3.3,-0.43,1
6.15,5.75,-0.325,1
6.9,9.9,-0.3525,1
8.25,5.5,-0.2275,1
4.45,5.45,-0.4325,1
9.4,4.7,-0.2025,1
8.75,7.45,-0.2525,1
5.3,8.2,-0.4325,1
5.75,5.6,-0.34,1
8.8,5.1,-0.205,1
6.8,7.7,-0.33,1
5.2,6.35,-0.3875,1
7.85,9.95,-0.3175,1
7.65,3.15,-0.19,1
7,9.7,-0.345,1
9.2,6.3,-0.2275,1
7.45,6.15,-0.2675,1
5.15,4.1,-0.3375,1
7.3,8.7,-0.3225,1
7.45,9.75,-0.3225,1
6.95,5.2,-0.2875,1
6.3,9.55,-0.375,1
8.15,5.6,-0.255,1
4.7,5.35,-0.405,1
4.3,1.35,-0.16,1
9.85,8.3,-0.235,1
7.5,6.4,-0.27,1
5.6,4.75,-0.34,1
4.7,7.9,-0.475,1
5.75,9.2,-0.4175,1
7,5.55,-0.2725,1
7.05,8,-0.3125,1
6.2,4.05,-0.2775,1
5.35,7.7,-0.4125,1
7.4,8.5,-0.305,1
7.9,8.55,-0.29,1
2.6,1.8,-0.3525,1
5.3,5.75,-0.3775,1
7.25,5.75,-0.2675,1
4.45,7.5,-0.5,1
3.9,5.5,-0.4975,1
6.85,6.55,-0.305,1
7.2,7.15,-0.3,1
4.35,6.3,-0.4775,1
7.5,7.85,-0.295,1
5.05,2.9,-0.27,1
6.55,9.6,-0.3675,1
8.15,1.85,-0.115,1
5.65,4.9,-0.3475,1
5.2,6.6,-0.3875,1
6.2,7.45,-0.365,1
6.95,9.35,-0.3475,1
7.7,5.55,-0.2425,1
4.95,7.4,-0.4425,1
8.85,6.8,-0.23,1
6.15,7.3,-0.3525,1
7.8,5.9,-0.2575,1
6.15,7.35,-0.345,1
4.55,4.95,-0.3925,1
9.2,4.4,-0.1975,1
4.2,4.9,-0.435,1
6.95,8.75,-0.3425,1
7.55,7.8,-0.2875,1
7.4,4.15,-0.2175,1
4.9,8.2,-0.4575,1
9.75,5.55,-0.2,1
4.15,6.25,-0.4725,1
4.3,7.35,-0.49,1
7.95,8.75,-0.29,1
7,7.55,-0.3075,1
8.35,8.35,-0.27,1
6.9,5.6,-0.28,1
5.8,9.85,-0.4175,1
6.25,5.65,-0.3,1
6.75,1.95,-0.1475,1
8.65,4.45,-0.1925,1
7.5,5.4,-0.245,1
4.5,4.55,-0.3725,1
8.8,4.2,-0.2,1
5.75,7.7,-0.3975,1
3.95,4.35,-0.4625,1
8.35,5.7,-0.2325,1
4.7,5.3,-0.4075,1
8.75,5.7,-0.2275,1
8.95,6,-0.225,1
7.85,7.1,-0.2825,1
5.2,6.8,-0.41,1
7.4,4.6,-0.255,1
5.5,9.15,-0.4425,1
4.15,6.35,-0.49,1
4.9,5,-0.365,1
4.4,8,-0.495,1
6.6,8.4,-0.36,1
5.55,6.65,-0.3675,1
4.85,6.7,-0.4425,1
5,7.8,-0.4525,1
5.8,5.85,-0.3375,1
7.65,8.1,-0.305,1
9.2,6.7,-0.2225,1
6.45,6.9,-0.3175,1
4.55,7.75,-0.485,1
4.95,5.55,-0.3825,1
5.2,6.65,-0.405,1
4.75,9.55,-0.4975,1
2.3,2,-0.43,1
6.1,7.35,-0.345,1
5.3,4.6,-0.355,1
5.95,5.55,-0.32,1
9,7.55,-0.2425,1
6.2,5.3,-0.305,1
6.45,8.35,-0.3525,1
4.85,7.5,-0.44,1
7.85,8.7,-0.2975,1
5.8,9.15,-0.4,1
8.85,9.45,-0.2725,1
4.1,5.95,-0.4875,1
6.6,8.75,-0.345,1
3.65,4.05,-0.4725,1
