epsilon_r,lambda_tf,mu_minus,operational status
7.95,4.8,-0.185,1
7.1,5.1,-0.2725,1
8.95,5.6,-0.23,1
9,4.8,-0.18,1
6.6,5.7,-0.315,1
6.7,4.95,-0.28,1
6.5,5.2,-0.295,1
6.1,4.75,-0.28,1
7,5.45,-0.23,1
6.75,4.8,-0.2475,1
9.85,6,-0.1975,1
9.9,5.4,-0.1725,1
4.7,4.75,-0.3675,1
4.6,5.1,-0.385,1
7.45,5.7,-0.275,1
6.85,5.05,-0.2325,1
6.55,5.35,-0.295,1
8.25,5.05,-0.23,1
5.15,5.25,-0.35,1
4.8,5.75,-0.3675,1
7,5.25,-0.255,1
5.3,5.8,-0.3325,1
6.3,4.8,-0.2875,1
7.15,5.1,-0.2375,1
9.5,5.65,-0.215,1
8.95,6.05,-0.21,1
8.3,5.55,-0.215,1
7.05,5.4,-0.2425,1
6.8,5.8,-0.2775,1
7.4,5.9,-0.23,1
5.4,5.55,-0.335,1
6,4.85,-0.2825,1
4.8,5.6,-0.4175,1
9.65,5.1,-0.1875,1
5.75,5.25,-0.2875,1
6.6,5.45,-0.3,1
4.85,5.15,-0.3925,1
5.55,6.05,-0.3325,1
5.9,4.95,-0.2725,1
4.5,4.9,-0.4025,1
4.4,5.05,-0.4325,1
5.6,4.75,-0.2875,1
6.2,5.1,-0.295,1
6.6,4.9,-0.275,1
8.45,5.15,-0.2275,1
5.7,5.1,-0.2875,1
9.8,5.75,-0.1975,1
4.7,5.45,-0.3675,1
9.75,4.9,-0.1925,1
7,5.35,-0.265,1
7.35,5.4,-0.2425,1
6.45,5.1,-0.265,1
5.05,5.65,-0.3275,1
9.75,5.7,-0.195,1
7.95,5.5,-0.2575,1
7.15,4.9,-0.245,1
6.7,4.85,-0.2325,1
9.95,5,-0.18,1
6.8,6,-0.28,1
7.6,5.7,-0.2275,1
5.65,5.55,-0.32,1
7.05,4.85,-0.2275,1
5.9,6.05,-0.3625,1
4.9,6.05,-0.395,1
5.9,5.25,-0.3225,1
4.85,4.8,-0.3025,1
8.4,5.5,-0.21,1
7,4.8,-0.2275,1
6.85,4.75,-0.2425,1
8.35,6.3,-0.2625,1
4.1,5.15,-0.49,1
5.1,5.7,-0.365,1
9.4,5.7,-0.1775,1
8.8,5,-0.1925,1
6.15,5.95,-0.335,1
5.45,5.15,-0.3325,1
6.1,5.65,-0.3075,1
4.4,4.75,-0.3725,1
7.3,4.85,-0.205,1
6.6,4.7,-0.2375,1
8.1,6.1,-0.2325,1
9.7,4.7,-0.155,1
7.4,5.85,-0.2825,1
9.2,5.75,-0.1875,1
9.2,5.05,-0.17,1
4.25,4.85,-0.41,1
6.35,6.05,-0.3025,1
8.8,4.8,-0.2125,1
5.35,6,-0.355,1
5.6,5.35,-0.2875,1
6.45,6,-0.3,1
5.8,4.95,-0.2825,1
7.4,5.5,-0.225,1
5.2,5.05,-0.33,1
7.45,5.25,-0.21,1
5.95,5.8,-0.35,1
9.25,6,-0.21,1
8.05,5,-0.2275,1
8.45,5.55,-0.1925,1
6.2,4.8,-0.2925,1
9.15,5.2,-0.2075,1
9.5,5.5,-0.195,1
5.5,5.3,-0.29,1
9,5.95,-0.23,1
8.2,5.9,-0.2225,1
5.5,4.85,-0.2825,1
4.2,5.15,-0.45,1
8.8,5.1,-0.2225,1
6.3,6.2,-0.345,1
5.25,5.65,-0.3575,1
6.85,4.7,-0.2575,1
6.6,6.4,-0.335,1
5.7,4.9,-0.3225,1
6.65,4.7,-0.2525,1
8.45,5.1,-0.2275,1
5.85,5.85,-0.31,1
8.15,4.8,-0.215,1
5.6,5.9,-0.34,1
6.15,5.65,-0.315,1
5.25,5.95,-0.3875,1
9.3,4.7,-0.185,1
5.6,5.1,-0.3,1
5.1,5.65,-0.3525,1
7.3,4.85,-0.2425,1
5.55,5.9,-0.3325,1
7.3,4.8,-0.23,1
6.6,5.45,-0.2475,1
8.95,5.15,-0.18,1
6.25,5.25,-0.25,1
8.9,4.85,-0.21,1
7.4,5.7,-0.26,1
7.1,5.7,-0.2425,1
5.7,5.55,-0.285,1
9.55,5.8,-0.1925,1
5.15,4.95,-0.3075,1
6.15,5.4,-0.27,1
6.9,4.85,-0.26,1
6.9,5.1,-0.23,1
9.55,5.6,-0.19,1
5.15,4.75,-0.36,1
9.35,4.7,-0.17,1
7.8,5.3,-0.26,1
7.1,5.55,-0.2625,1
9.8,4.8,-0.1825,1
6.6,6,-0.2825,1
4.8,5.2,-0.415,1
8.25,4.75,-0.18,1
5.8,5.8,-0.34,1
5.55,5.25,-0.3575,1
9.6,5.5,-0.2025,1
5.6,4.85,-0.325,1
5.45,5.25,-0.3125,1
6.1,5.8,-0.315,1
7.75,5.4,-0.25,1
8.85,5.65,-0.22,1
6.25,6.05,-0.2825,1
5.3,5.5,-0.3675,1
7.2,6.05,-0.295,1
9.4,4.85,-0.185,1
5.25,5.1,-0.3,1
7.9,4.95,-0.2225,1
7.75,5.4,-0.2475,1
9.3,5.3,-0.2025,1
5.9,4.9,-0.255,1
6.85,3.7,-0.255,1
4.4,5.6,-0.4625,1
5.6,5,-0.335,1
7.35,4.75,-0.25,1
8.7,4.9,-0.1775,1
5.4,5.45,-0.3125,1
7.05,4.9,-0.2475,1
4.75,5,-0.3375,1
4.7,4.7,-0.33,1
6.65,5.85,-0.26,1
4.9,5,-0.37,1
8.05,5,-0.1925,1
7.25,5.1,-0.2525,1
5.6,5.35,-0.2925,1
6.1,5.65,-0.34,1
8.25,4.8,-0.215,1
9.2,6.1,-0.2275,1
6.4,4.9,-0.305,1
6.7,6.1,-0.3,1
7.45,5.45,-0.2275,1
8.2,5.95,-0.26,1
4.3,4.95,-0.46,1
7.55,5.9,-0.2625,1
5.75,5.15,-0.34,1
7.7,6.05,-0.255,1
9.95,4.8,-0.1625,1
7.15,4.7,-0.2675,1
9.65,5.3,-0.21,1
9.95,4.8,-0.19,1
5.3,4.9,-0.32,1
9.1,6,-0.23,1
7.4,4.75,-0.2125,1
4.55,5,-0.385,1
4.85,6.1,-0.4375,1
4.7,5.2,-0.3525,1
6.25,4.95,-0.2425,1
5.8,5.6,-0.3575,1
8.7,5.75,-0.2425,1
7.4,4.9,-0.255,1
6.45,4.75,-0.3,1
4.9,5.2,-0.3675,1
6.2,5.5,-0.2625,1
7.9,5.4,-0.21,1
4.75,5.6,-0.3675,1
7.45,5.1,-0.2325,1
7,5.65,-0.2925,1
5.5,5.8,-0.32,1
9.7,5.75,-0.2,1
8.1,4.7,-0.1975,1
6.55,5.45,-0.2975,1
4.75,5.55,-0.4075,1
4.2,4.9,-0.465,1
4.95,5.65,-0.385,1
6,4.95,-0.2675,1
6.65,5.55,-0.2575,1
6.85,6.05,-0.2925,1
7.9,5,-0.2425,1
7.1,5.2,-0.2425,1
6.4,5.2,-0.295,1
6,5.55,-0.315,1
7.7,5.75,-0.25,1
7.7,5.15,-0.2,1
8.2,4.9,-0.1825,1
8.3,5.85,-0.2425,1
