epsilon_r,lambda_tf,mu_minus,operational status
6.05,9.95,-0.4225,1
5.05,9.6,-0.4925,1
4.95,3.3,-0.255,1
6.55,5.2,-0.28,1
8.05,5.4,-0.23,1
8.95,7.8,-0.255,1
7.95,8.2,-0.3,1
7.5,7.35,-0.3,1
4.7,7.7,-0.4925,1
6.05,8.95,-0.3975,1
8.6,4.95,-0.2025,1
4.95,4.5,-0.335,1
7.2,7,-0.2975,1
6.5,9.7,-0.3925,1
4.85,7.4,-0.4625,1
3.1,2.5,-0.3075,1
6.75,7.05,-0.325,1
6.45,2.85,-0.17,1
9.8,3.75,-0.145,1
4.9,6.9,-0.4375,1
5.85,2.55,-0.1675,1
7.75,7.5,-0.295,1
7.25,6.05,-0.275,1
8.1,5.15,-0.22,1
5.45,7.55,-0.41,1
3.9,3.55,-0.3525,1
6.95,7.75,-0.33,1
7.35,4.7,-0.23,1
4.7,6.55,-0.44,1
4.05,5.45,-0.46,1
6.35,3.4,-0.2075,1
9.65,8.2,-0.245,1
6.95,7.6,-0.33,1
9,8.55,-0.2625,1
8.3,8.4,-0.285,1
6.9,6.3,-0.295,1
4.6,5.6,-0.4125,1
5.2,4.7,-0.3325,1
7.95,3.35,-0.16,1
6.95,7.5,-0.32,1
7.15,3.5,-0.185,1
8.25,6.3,-0.2525,1
7.45,4.45,-0.2175,1
8.1,9.55,-0.31,1
6.7,5.05,-0.265,1
7.3,9.8,-0.3475,1
3.6,2.15,-0.22,1
7.3,5.1,-0.25,1
8.2,9.3,-0.2975,1
8.65,7.55,-0.1925,1
9.35,3.7,-0.1525,1
5.25,7.9,-0.44,1
5.5,8.3,-0.4225,1
4.6,5.95,-0.435,1
8.2,6.15,-0.2475,1
7.55,5.95,-0.2625,1
7.6,9.95,-0.3375,1
7.9,6.2,-0.2575,1
5.45,9.25,-0.4475,1
8.15,5.8,-0.2425,1
6.8,2.85,-0.1625,1
6.5,3,-0.18,1
4.85,8.45,-0.485,1
4.35,5.15,-0.415,1
9.75,4.7,-0.1725,1
6.75,5.1,-0.265,1
5.05,5.9,-0.3925,1
7.6,2.65,-0.1325,1
7.65,4.35,-0.21,1
9.95,7.65,-0.23,1
6.2,5.95,-0.3225,1
8.1,8.05,-0.29,1
5.05,9.1,-0.4825,1
4.45,6.4,-0.465,1
6.75,9.85,-0.37,1
4.15,2.75,-0.255,1
8.95,8.85,-0.27,1
6.85,6.55,-0.3075,1
6.35,9.1,-0.385,1
4.5,6.65,-0.465,1
5.45,7.45,-0.415,1
7.25,6.65,-0.2125,1
4.9,3.5,-0.2775,1
7.7,2.55,-0.125,1
8.15,9.35,-0.3075,1
8.7,4.75,-0.195,1
4.8,6.7,-0.4425,1
9.55,4.15,-0.16,1
6.65,6.7,-0.315,1
7.8,8.05,-0.3,1
7,9.45,-0.355,1
9.45,8.35,-0.2475,1
8.25,7.05,-0.2625,1
4.25,5,-0.415,1
5.65,6.95,-0.28,1
7.65,7.3,-0.2875,1
4.2,6.1,-0.4875,1
8.95,4.95,-0.195,1
6.3,6.05,-0.315,1
4.3,6.7,-0.495,1
5.55,10,-0.4525,1
5.05,8.5,-0.47,1
4.95,4.2,-0.32,1
9.1,6.7,-0.235,1
6.85,8.4,-0.3425,1
8.1,4.75,-0.2125,1
5.05,5.65,-0.385,1
5.4,7.45,-0.42,1
6.2,9.15,-0.3975,1
5.5,4.25,-0.29,1
5.35,7.5,-0.42,1
7.6,7.7,-0.295,1
6.4,9.15,-0.38,1
4.05,3.45,-0.325,1
10,8.15,-0.2375,1
3.5,2.7,-0.295,1
8.75,2.75,-0.12,1
8.3,8.05,-0.2775,1
6.65,9.1,-0.375,1
4.4,5.85,-0.445,1
4.35,5.15,-0.4175,1
7.15,4.7,-0.2375,1
9.5,4.3,-0.17,1
5.1,9,-0.4725,1
6.5,8.7,-0.3725,1
7.2,8.8,-0.335,1
5.1,8.45,-0.465,1
8.75,7.2,-0.255,1
9.5,8.55,-0.25,1
5.45,2.55,-0.18,1
6.45,3.45,-0.2075,1
6.05,6.75,-0.3575,1
4.85,5.95,-0.405,1
6.05,5.05,-0.3,1
4.7,6.25,-0.435,1
6.8,8.75,-0.36,1
6.3,7.45,-0.2625,1
4.2,5.25,-0.4425,1
6.95,5.65,-0.2725,1
6.75,5.35,-0.2775,1
5.35,6.95,-0.405,1
7.5,3,-0.155,1
6.5,5.75,-0.2975,1
5.95,5.5,-0.3175,1
6.7,8.65,-0.36,1
6.15,6.6,-0.345,1
6.15,4.75,-0.2825,1
5.45,6.95,-0.395,1
9.75,8.65,-0.245,1
6.45,7.25,-0.345,1
5.85,9.2,-0.4225,1
6.75,6.75,-0.315,1
7.3,7.35,-0.225,1
7.05,8.65,-0.34,1
4.65,7.5,-0.485,1
3.85,4.65,-0.4375,1
4.9,3.05,-0.2425,1
5.8,9.15,-0.43,1
5.15,8.2,-0.4525,1
3.9,2.8,-0.275,1
4.35,6.25,-0.475,1
9.4,4.7,-0.1825,1
4.95,7.6,-0.4625,1
8.05,9.1,-0.3025,1
3.9,3.75,-0.365,1
6.65,3.55,-0.2075,1
4.3,5.45,-0.44,1
6,8.05,-0.3925,1
4.45,5.05,-0.4,1
5.9,8.9,-0.41,1
8.3,6.35,-0.25,1
9.25,7.85,-0.2525,1
7.1,6.25,-0.285,1
9.3,7.8,-0.245,1
5.75,4.9,-0.3075,1
9.95,9.2,-0.25,1
8.15,3.15,-0.15,1
5.55,7.45,-0.3975,1
8.5,6.15,-0.2375,1
6.35,4.75,-0.2725,1
9.8,8.7,-0.245,1
5.65,4.35,-0.2875,1
8.1,5.75,-0.2425,1
