epsilon_r,lambda_tf,mu_minus,operational status
9.4,4.95,-0.19,1
5.2,5.3,-0.35,1
7.55,8.1,-0.2975,1
9.25,5.9,-0.21,1
5.1,4.75,-0.34,1
7.6,7.15,-0.2825,1
9.65,9.35,-0.2475,1
3.9,5.4,-0.4725,1
7.4,9.55,-0.3275,1
7.4,8.3,-0.3125,1
5.2,5.25,-0.3575,1
9.45,5.55,-0.1975,1
6.55,5.25,-0.2825,1
9.85,9.85,-0.2475,1
6.3,7.2,-0.35,1
7.3,6.55,-0.2875,1
7.55,8.55,-0.31,1
5.15,5.35,-0.3575,1
6.45,9.75,-0.3825,1
6.25,9.15,-0.3775,1
9.7,9.35,-0.25,1
5.55,5.6,-0.3475,1
9.45,7,-0.2275,1
5,8.25,-0.46,1
8.8,6.55,-0.2375,1
7.2,9.1,-0.34,1
5.45,8.3,-0.4275,1
6.05,7.65,-0.3725,1
9,7.8,-0.2475,1
6.75,7.5,-0.325,1
5.9,6.3,-0.345,1
9.95,9.75,-0.245,1
4.95,5.3,-0.375,1
6.75,4.95,-0.265,1
5.85,9.75,-0.4225,1
9.35,9.95,-0.2675,1
7.05,9.4,-0.3475,1
6.9,5.7,-0.2775,1
6.9,9.15,-0.3525,1
6.9,8.15,-0.33,1
5.85,9.2,-0.405,1
5.55,9.25,-0.445,1
6,5.05,-0.3,1
3.8,4.95,-0.4675,1
9.5,7.5,-0.2375,1
8.4,9.8,-0.29,1
9.5,6.9,-0.225,1
4.85,9.2,-0.49,1
5.45,10,-0.4525,1
6.5,9.45,-0.3675,1
4,5.15,-0.4475,1
8.75,9.85,-0.285,1
8.6,7.35,-0.255,1
8.85,9.05,-0.2775,1
5.7,5.75,-0.335,1
9.7,7.1,-0.225,1
4.45,6.65,-0.4775,1
6.35,9.45,-0.385,1
5,9.35,-0.49,1
8.1,9.1,-0.2925,1
3.65,5.15,-0.495,1
8.3,8.05,-0.2725,1
5.35,6.05,-0.3675,1
5.75,5.75,-0.335,1
4.4,7.25,-0.5,1
4.8,7.95,-0.4775,1
5.25,9.55,-0.475,1
7,9.1,-0.3425,1
8,6.5,-0.255,1
4.45,6.4,-0.46,1
5.35,7.5,-0.4225,1
5,9.45,-0.4975,1
6.9,6.1,-0.2875,1
9.4,8.45,-0.2525,1
7.4,8.2,-0.305,1
8.1,9.15,-0.2925,1
6.3,6.3,-0.325,1
8.05,9.25,-0.3,1
4.2,5.5,-0.445,1
5.05,8.5,-0.47,1
6.2,5.7,-0.31,1
9.9,7.35,-0.2225,1
8.8,6.1,-0.225,1
8.7,9.75,-0.28,1
3.85,5.8,-0.5,1
6.2,8.8,-0.385,1
5.55,9.5,-0.445,1
8.45,8.4,-0.2775,1
5.65,9,-0.43,1
7.4,9.35,-0.33,1
5.25,8.15,-0.435,1
5.55,7.1,-0.395,1
5.05,8.05,-0.4475,1
7.4,6.3,-0.275,1
4.2,5.85,-0.4675,1
5.2,9.55,-0.465,1
7,9.65,-0.3475,1
9,5.3,-0.2075,1
6,8.75,-0.395,1
8.15,9.45,-0.305,1
9.9,5.3,-0.1875,1
6.4,9.6,-0.3875,1
5.3,8.6,-0.4525,1
5.6,5.65,-0.345,1
5.8,6,-0.34,1
8,6.15,-0.2475,1
9.7,8.05,-0.2325,1
8.75,7.75,-0.2575,1
6.55,7.9,-0.34,1
4.9,8.85,-0.4775,1
4.35,5.7,-0.44,1
5.6,5.9,-0.35,1
8.15,7.3,-0.265,1
9.95,9.45,-0.245,1
7.85,6.65,-0.265,1
5.6,9,-0.435,1
4.4,6.3,-0.465,1
7.3,7.75,-0.31,1
8.75,5.35,-0.2125,1
6.05,5.95,-0.33,1
7.05,6.8,-0.3,1
5.25,5.35,-0.3475,1
6.05,9.15,-0.405,1
8.65,8.05,-0.27,1
9.95,5.95,-0.2,1
7.85,7,-0.27,1
