epsilon_r,lambda_tf,operational status
7.3,7.5,0
3.15,4.35,0
9.9,1,0
6.65,8.55,0
2.6,8.2,0
3.05,1.9,0
9.3,4.95,0
8.45,9.55,0
7.65,8.7,0
5.25,5.45,0
9.85,5.85,0
6.15,7.4,0
1.95,2.35,0
4.55,1.75,0
8.55,4.3,0
8.05,6,0
5.2,7.7,0
3.55,7.65,0
8.1,6,0
3.55,8.45,0
5.9,3.1,0
6.05,6.3,0
2.8,3.7,0
9.9,5.4,0
9.3,7.8,0
9.2,4.1,0
9.5,7.1,0
9.8,2.4,0
9.5,9.55,0
5.85,1.55,0
9.35,4.65,0
3.45,8.95,0
1.35,5.35,0
6.25,4.85,1
9.6,4.05,0
5.2,3.4,0
6.35,9.55,0
3.1,1.4,0
8.3,1.9,0
4.55,7.1,0
9.75,9.3,0
3.55,8.4,0
9.45,2.6,0
5.35,8.85,0
2.1,6.8,0
5.55,2.25,0
4.6,7.85,0
1.8,1.6,0
1.7,4,0
8.1,8.6,0
6.5,8.65,0
1.15,5.75,0
2.6,9.7,0
6.15,8.5,0
2.8,3.45,0
7.65,5.9,0
1.4,4.45,0
2.7,9.3,0
7.3,3.05,0
1.5,5.5,0
2.75,9.55,0
7.1,5.6,0
7.05,3.8,0
3.5,5.85,0
6.8,9.85,0
6.35,2.85,0
8.55,3.75,0
9.6,3.1,0
1.05,9.6,0
9.65,7.05,0
8.95,9.7,0
5.85,8.1,0
4.55,8.95,0
3.85,5.4,0
7.55,2.9,0
8.1,1.05,0
4.2,4.6,0
5.15,1.7,0
8.9,1.15,0
9.25,4.95,0
4.15,9.7,0
1.25,9.1,0
9.25,2.65,0
3.25,4.15,0
3,7.85,0
3.85,7.95,0
3.95,1.3,0
8.7,8.2,0
1.1,4.85,0
4.65,6.45,0
3.4,6.2,0
5.45,7.05,0
1.15,9.1,0
3.4,7.8,0
1.95,8.5,0
7.1,8.7,0
9.9,9.75,0
4.6,4.15,0
7.85,9.5,0
2.5,1.4,0
4.95,6,0
9.15,3.75,0
5.7,4.85,1
2.05,7.4,0
7.3,5.45,0
