epsilon_r,lambda_tf,operational status
2.4,9.75,0
2.5,7.2,0
3.65,7.7,0
4.6,6.1,0
9.65,9,0
8.1,6.6,0
2.6,8.5,0
9.1,2.9,0
1.9,9.85,0
5.15,4.15,0
3.8,1.65,0
7.95,6.6,0
6.05,6.85,0
4.2,8.4,0
3.45,3.95,0
3.95,9.2,0
1.45,2.15,0
2.05,1.6,0
3.35,6.5,0
3.75,7.95,0
9.2,2.45,0
6.2,6.9,0
4.2,3.6,0
4.75,7.25,0
6.8,5.4,0
6.95,5.9,0
4.55,9.8,0
9.2,4.1,0
1.45,3.25,0
8.35,2.05,0
5.25,8.95,0
8.85,6.35,0
3.4,6.4,0
8.95,4.35,0
8.85,10,0
4.7,2.5,0
3.65,5.95,0
8.9,7,0
7.5,6.8,0
5.2,9.2,0
8.95,6.25,0
5.9,2.3,0
4.45,3.3,0
6.55,6.65,0
8.5,1.15,0
5.55,7.45,0
9.2,9.35,0
3.5,5.65,0
6.9,6.15,0
1,1.25,0
5.55,3.4,0
9.1,8.5,0
5.75,4.65,0
3.65,1.85,0
9.9,7.85,0
5.4,7.25,0
2.2,5.85,0
9.3,9.7,0
8,2.25,0
5.6,5.25,1
4.8,7.3,0
3.85,9.1,0
5.6,1.9,0
9.6,3.1,0
4.75,2.25,0
3.2,3.7,0
2.5,4.65,0
5.65,8.45,0
7.55,2.9,0
4.5,9.25,0
9.6,5.45,0
6.2,6.2,0
4.85,9.85,0
1.15,7.9,0
8.1,7.2,0
6.15,2.6,0
4.2,4.6,0
9.7,9.3,0
1.05,5.95,0
6.6,3,0
4.5,9.7,0
9.9,2.1,0
3.4,6.2,0
5.2,2.9,0
5.45,7.05,0
6.1,8.4,0
4.5,3.5,0
5.6,6.05,1
8.15,8.25,0
4.4,2.25,0
2.85,3.6,0
6.7,5.75,0
8.5,2.85,0
5.4,3,0
5.95,8.55,0
4.1,4.05,0
6.25,6.65,0
4.45,7,0
2.9,3.6,0
6.35,8.85,0
6,2.25,0
5.4,9.4,0
4.2,2.15,0
4.85,8.8,0
7.1,4.9,0
6.4,8.35,0
8.75,6.5,0
8.4,5.05,0
9,6.6,0
2.65,2.65,0
4.7,7.55,0
1.5,1.3,0
3.3,3.45,0
4.05,7,0
9.25,4.45,0
5.25,2.8,0
1.65,2.15,0
8.85,7.9,0
1.45,1.1,0
10,6.8,0
8.15,2.6,0
3.5,6.35,0
4.5,2,0
8.45,7.2,0
5.8,4.45,0
5.6,1.35,0
8.3,7,0
8.5,9.3,0
2.85,5.6,0
4.05,3,0
8.05,5.85,0
4.8,1.55,0
6.3,8.05,0
8.55,6.55,0
10,7.15,0
6.85,1.85,0
5.4,5.65,1
5.55,5.15,1
4.8,4.05,0
