epsilon_r,lambda_tf,operational status
5.85,5.3,1
7.3,7.75,0
7.1,7.5,1
6.2,6.2,0
7.75,9.7,0
1.8,5.05,0
6.8,7.2,1
7.15,7.95,1
7,7.15,0
6.85,6.8,0
7.7,9.5,1
6.35,6.1,1
7.65,8.7,1
9.7,7.7,0
5.65,4.95,0
5.5,4.75,0
6.75,7.15,1
7.9,9.25,0
3.75,3.1,1
7.85,9.2,0
6.3,6.25,1
2.5,2.15,0
7,7.05,0
7.5,8.95,1
7.1,8,0
4.2,3.6,0
5.95,5.8,0
7.3,7.95,1
3.6,3.1,0
8,9.65,0
6.3,5.9,0
7.75,8.9,0
7.6,9.1,1
5.8,5.2,0
3.1,2.65,0
5.35,4.95,0
7.7,8.75,0
4.2,3.4,0
6.6,6.8,1
2.55,2.3,0
7.75,9.65,1
2.5,2.2,0
7.35,8.5,1
7.7,9.7,0
3.35,2.7,0
2.6,2.25,1
5.45,5,0
4.45,3.7,1
4.6,3.95,1
9.55,8.2,0
6.2,9.3,0
4.7,8.65,0
6.1,5.7,1
7.95,9.6,0
7.55,9.25,0
5.45,4.65,0
7.8,9.9,0
6.25,4.1,0
6.65,6.4,0
7.35,7.9,0
7.75,9.6,1
5.6,5.25,0
3.65,3.05,1
4.5,3.75,1
5.3,4.5,0
4.4,3.55,0
7.8,9.2,1
6.35,6,0
6,5.5,1
6.95,7.05,0
5.55,5.15,0
4.8,4.05,1
7.7,9.55,0
7.05,7.35,1
7.05,7.9,0
6.9,6.85,0
2.85,4.3,0
6.25,5.85,0
4.45,3.6,0
4.25,3.7,0
5.05,4.5,0
5.35,4.6,0
4.85,4.1,1
7.4,8.1,1
3.6,4.4,0
7.25,8.45,0
7.2,7.65,1
4.35,3.6,1
6.35,5.9,0
4.2,3.45,1
4.3,3.65,1
3.05,2.55,1
6.85,7.35,1
6,5.85,0
7.95,10,1
8,9.75,0
6.45,6.2,1
6.4,6.05,0
2.55,2.2,1
5.3,4.8,0
2.7,2.3,1
6.6,6.9,0
4.7,3.95,1
7.05,7.7,1
5.1,4.35,1
6.2,5.8,1
3.4,2.8,1
5.5,5.15,0
4.05,3.35,1
7.95,3.35,0
4.75,4,1
6.15,6.05,0
10,8.35,0
6.65,6.9,1
7.65,9.55,0
4.45,3.9,0
7.05,7.85,0
5.35,4.55,0
5.9,5.75,0
6.85,7.3,1
6.9,7.55,0
7,7.2,1
7.15,8.1,0
4.05,3.65,0
3.05,2.5,0
5.2,4.65,1
7.6,8.45,0
7.25,7.6,0
6.95,6.95,0
3.85,3.05,0
3.4,2.75,0
4.65,3.8,0
5.75,5.45,0
6.15,5.65,0
7.35,8.6,0
3.4,2.9,0
4.65,9.1,0
6.7,6.5,0
5.15,4.55,1
4.9,4.15,1
7.5,8.85,1
7.55,9,1
7.85,9.95,1
6.8,6.75,0
7.55,8.4,0
2.85,2.5,0
3.55,3.05,0
4.85,4.35,0
6.55,6.3,0
7,7.85,0
3.95,3.35,0
5.95,5.65,1
7.9,9.5,1
3.75,3.2,0
5.5,5.1,0
3.15,2.65,1
6.05,5.5,0
6.05,5.6,1
7.65,8.8,1
7.8,6.85,0
7.65,8.55,0
5.85,5.55,1
6.25,5.9,1
6.5,6.2,0
6.75,7.3,0
7.85,9.4,1
4,3.35,1
5.8,5.6,0
7.25,8.3,0
3.9,3.25,1
5.1,4.65,0
7.7,9.6,0
7.55,9.1,0
7.1,8.05,0
5.9,5.65,0
5.05,4.45,1
6.55,6.7,1
7.55,9.05,1
7.65,9.5,0
6.05,5.9,0
7.35,7.95,0
7.3,7.85,1
5.75,5.15,1
7.3,8.55,0
4.8,4.25,0
3.65,3.15,0
3.25,3.25,0
7.7,9.4,1
7.85,9.9,1
3.1,9.3,0
6.1,5.65,1
7.8,9.7,1
7.2,8.1,1
6.75,6.65,0
2.75,2.25,0
4.8,4,0
5,2,0
7.9,9.4,0
4.75,3.95,0
4.2,3.55,1
6.7,6.55,0
4.15,3.6,0
5.35,4.9,0
6.6,9.45,0
5.25,2.35,0
4.65,2.3,0
5.75,5.05,0
6.4,6.4,1
7.3,8.3,1
2.65,2.3,0
7.6,9.15,1
7.5,8.35,1
5.2,4.4,0
4.65,4.05,0
7.35,8.55,0
6.8,7.4,0
9.55,8.45,0
8.05,9.9,0
2.7,2.4,0
6,5.4,0
3.4,4.95,0
6.3,6.3,0
7.75,9.75,0
