epsilon_r,lambda_tf,operational status
7.65,10,1
7.1,7.5,0
5.8,5.65,0
7.1,8.45,0
6,5.5,0
7.55,9.95,0
5.5,4.75,0
6.35,6.1,0
3.4,6.05,0
5.65,4.95,0
8.65,5.75,0
6.2,6.2,1
7.2,8.75,0
5.45,5,0
7.7,9.1,0
6.7,6.75,1
6.5,6.4,1
1.55,7.1,0
7,5.85,0
6.4,6.8,0
6.1,5.7,1
6.55,7.05,0
9.45,9.8,0
6.95,7.25,1
7.55,8.6,0
7.35,8.25,1
7.8,9.6,1
7.45,8.35,0
6.65,7.15,1
7.85,9.5,0
5.95,5.8,0
7.3,8.05,1
7.75,9.1,0
10,7.7,0
5.6,5.25,0
9.15,3.75,0
5.8,5.2,0
7.8,9.65,1
7.15,8.55,0
7.3,7.95,0
7.05,8.35,0
7.55,6.3,0
6.35,6,0
6.3,5.9,0
5.85,5.3,0
6.2,5.8,0
5.55,5.15,0
6.4,6.7,0
3.55,7.35,0
5.5,5.15,0
7.05,7.35,0
7.9,9.95,0
1.7,7,0
6.9,7.9,0
6.5,7,0
7.5,9.65,0
4,5,0
6.25,5.85,0
7.85,9.8,1
1.75,1.7,0
5.9,5.75,0
1.9,7.2,0
7.5,9.55,1
7.2,7.65,0
7.2,8.65,0
7,7.2,0
5.5,8.55,0
7.45,9.3,1
3.85,5.95,0
7.55,9.85,0
7.95,10,0
6.45,6.2,0
6,5.85,1
6.85,7.7,0
6.35,6.55,0
6.55,6.95,1
4.1,2.15,0
7.45,9.45,0
7.45,8.55,1
7.85,4.25,0
5.75,5.45,0
6.9,7.7,1
6.75,7.35,1
6.15,5.65,0
7.6,8.9,1
7.35,8.15,0
6.65,7.2,0
4.75,7.7,0
4.05,8.45,0
7.85,9.95,1
7.65,8.9,0
7.4,9.2,1
7.15,8.5,0
7.95,2.1,0
7.6,9.8,1
6.35,6.15,1
7.75,9.25,0
5.5,5.1,0
6.05,5.5,0
7.65,8.85,0
7.45,8.45,1
6.05,5.6,0
4.15,2.4,0
7.65,8.8,0
7.4,8.3,1
6.9,7.95,0
7.05,8.15,1
7.8,9.45,0
5.85,5.55,1
6.25,5.9,0
6.6,7.15,0
8.95,1.45,0
6.05,6.05,0
7.25,8.9,0
5.25,8.5,0
5.75,5.55,0
7.1,7.65,1
5.8,5.6,0
7.65,9.1,1
7.4,8.25,0
7.4,8.4,1
5.9,5.65,1
5.75,5.05,0
7,7.45,1
7.75,9.15,0
7.3,8,0
9.2,2.8,0
7.1,7.55,0
6.05,5.9,1
5.45,4.9,0
6.05,5.65,1
5.75,5.15,0
6.7,7.3,1
7.25,8.75,1
7.55,9.75,1
7.85,3,0
6.85,7.8,0
7.45,8.5,1
5.4,4.85,0
5.25,6.7,0
6.75,6.7,0
