epsilon_r,lambda_tf,operational status
6.25,4.85,1
5,5.85,0
6.95,7.05,1
6.9,6.1,0
6.75,6.45,1
4.6,5,1
7.25,6.85,0
6.05,6.85,1
4.85,4.85,0
7.3,6.95,0
5.05,5.8,1
7.25,10,0
6.9,6.15,1
2.15,9.7,0
6.8,7.1,0
7.15,6.65,0
1.55,3,0
3.2,6.6,0
5.35,6.35,1
6.5,7.1,0
7,7.05,1
6.55,7.05,1
7.5,8.95,0
6.2,7.05,1
6.55,5.25,0
5.95,6.85,1
5.7,7.1,0
7.8,9.9,0
6.45,5.2,0
6.7,5.75,1
4.6,5.05,0
4.8,5.3,1
5.65,7,1
2.65,1,0
5.7,4.85,0
9.2,3.25,0
4.75,4.9,1
5.1,5.85,1
6.35,7.05,1
8.5,7.45,0
1.6,6.95,0
4.45,6.95,0
6.1,7.1,0
6.05,4.75,1
5.75,4.9,1
5.15,6.05,0
7,6.25,0
4.3,2,0
7,6.85,1
4.55,4.9,1
5.15,5.95,1
5.2,6.05,1
7.05,6.35,0
6.9,6.85,1
6.25,6.85,1
5.9,6.85,1
7.1,7.05,1
5.45,5.4,1
6.5,5.25,0
7.1,7.1,0
6.25,4.8,0
4.65,5.15,0
7.25,7.1,0
4.8,4.85,0
4.9,5.6,0
5.05,5.75,1
5.5,5.4,1
8.85,3.95,0
2.05,8.2,0
4.55,5,0
8.95,3.45,0
5.55,7.05,0
6.3,6.85,1
5.2,6.15,0
6.35,6.85,1
1.2,1.85,0
5.45,6.75,0
6.65,5.55,0
5.8,6.85,1
6.15,6.45,1
4.75,5.4,0
6.05,7.05,1
1.4,3.8,0
5.45,6.6,1
5.9,7.05,1
6.35,5.05,1
7.5,5.7,0
6.6,5.35,0
5.45,4.9,1
4.95,5.4,1
6.65,4.95,0
5.5,6.7,1
7.15,6.55,0
6,5.4,1
5.4,4.85,0
5.9,7.1,0
7,9.6,0
6,6.85,1
6.1,6.45,1
6.9,5.95,0
5.05,4.9,1
5,6.8,0
4.65,5.65,0
5.2,6.2,0
5.15,4.85,0
5.4,4.9,1
6.7,5.6,0
5.25,5.4,1
7.75,4.5,0
6.25,4.9,1
6.3,4.95,1
5.7,4.9,1
6.15,4.7,0
5.35,4.9,1
5.35,6.4,1
6.95,6.2,0
6.9,6.05,0
7.25,7.05,1
6.35,7.1,0
5.55,6.45,1
4.65,5.05,1
6.1,4.7,0
6.95,6.3,1
7,6.2,0
5.55,6.95,0
6.55,5.35,0
6.15,4.75,1
5,5.65,1
6.65,5.65,1
5.5,4.9,1
6.7,5.55,0
6.45,5.1,0
5.95,6.45,1
6.55,5.4,1
6.6,5.55,1
6.6,5.5,1
8.4,4.55,0
5.5,6.8,0
5.95,5.4,1
5.75,6.85,1
5.1,4.85,0
6.6,7.1,0
5.5,6.45,1
6.2,4.8,1
5.95,4.85,0
5.55,4.9,1
6,4.7,0
5.15,4.9,1
4.65,5.2,0
5.6,6.9,1
6.25,7.05,1
5.3,6.45,0
4.9,5.4,1
6.1,5.4,1
7.1,6.55,0
5.6,6.45,1
7.3,6.2,0
3.45,7.25,0
7.25,6.9,0
7.05,6.5,1
6.75,5.8,1
6.4,6.85,1
6.05,5.4,1
6.8,5.95,1
7.05,6.45,1
6.5,5.2,0
5.25,6.2,1
6.05,4.7,0
7.15,6.7,1
5.3,6.25,1
9.6,6.7,0
6.2,4.75,0
6.7,2.85,0
5.65,4.9,1
9.35,2.8,0
5.65,5.4,1
6.1,1.8,0
5.4,6.45,1
7.2,7.1,0
6.95,6.25,1
6.35,4.95,0
5.9,3.8,0
6.15,7.1,0
5.85,7.1,0
6.5,5.3,1
4.75,5.2,1
5.8,7.05,1
6.9,6.2,1
7,2.25,0
6.6,7.8,0
5.9,4.9,1
5,4.9,1
4.6,5.15,0
5.15,6,1
5.4,6.3,1
9.3,3.65,0
6.4,7.05,1
5.9,4.85,0
7,6.35,1
6.05,6.45,1
5.45,6.45,1
5.8,4.85,0
8.8,5,0
5.75,7.1,0
6.45,3.15,0
6.35,4.9,0
7,7.1,0
6.75,7.05,1
7.15,6.8,1
9.8,4.2,0
5.85,5.4,1
6.7,7.1,0
8.25,4.1,0
5.55,7,0
7.3,7.05,0
6.95,7.1,0
8.55,3,0
7,6.3,0
5.9,4.7,0
6.6,7.05,1
4.8,4.9,1
6.25,4.75,0
6.3,4.8,0
7.2,6.8,0
5.7,6.85,1
6.8,6.45,1
3.45,9,0
2.1,1.65,0
6.65,7.05,1
5.9,5.4,1
6,4.8,1
6.4,6.45,1
5.7,6.45,1
5.4,6.55,0
5.55,6.9,0
6.45,5.25,1
5.7,7.05,1
6.2,6.85,1
4.95,4.85,0
4.55,4.85,0
6.1,7.05,1
5.25,6.35,0
5.05,5.95,0
6.75,5.85,1
6.9,7.1,0
5.95,4.9,1
5.95,7.05,1
5.3,6.4,0
5.85,6.45,1
4.9,9.7,0
4.65,4.9,1
6.25,5.4,1
6.1,6.85,1
6.3,4.85,0
6.7,6.85,1
3.65,9,0
6,6.45,1
7.25,5.65,0
6.65,8.1,0
4.95,5.7,0
3.2,9.85,0
4.95,5.55,1
6.7,6.45,1
5.7,5.4,1
6.85,7.05,1
7.5,7.85,0
7.05,7.1,0
9.4,9.6,0
7.2,6.9,1
4.5,4.9,0
5.15,6.15,0
6.5,6.85,1
1,3.55,0
6.3,7.05,1
7.1,6.65,1
6.8,5.75,0
5.25,4.85,0
7.05,7.05,1
6.1,4.75,1
4.95,5.65,0
4.7,4.85,0
6.85,5.85,0
4.95,5.75,0
5.45,6.7,0
6.55,5.3,0
5,5.75,0
5.2,5.4,1
5.2,4.85,0
6.85,5.95,0
9.25,6.75,0
5.4,6.6,0
7.1,6.5,0
5.9,4.8,0
6.75,7.1,0
5.1,5.95,0
5.55,5.4,1
5.35,6.45,0
6.55,6.45,1
5.55,6.75,1
5.55,6.8,1
6.75,5.7,0
5.6,4.85,0
5.25,6.15,1
4.8,5.45,0
6.55,6.85,1
6.8,7.05,1
5.25,6.3,0
5.55,7.1,0
5.95,4.75,1
4.7,5.2,0
4.9,4.85,0
4.6,4.9,1
6.8,5.8,0
4.9,5.5,1
6.4,5.4,1
5.85,6.85,1
3.85,2.65,0
7.05,6.55,1
6.15,6.85,1
6.15,7.05,1
1.05,1.35,0
4.7,5.15,1
4.75,5.25,1
5,5.8,0
5.85,4.85,0
6.65,7.1,0
5.95,1.15,0
6.05,7.1,0
6.7,7.05,1
3,5.8,0
6.95,6.1,0
4.6,4.95,1
6.3,5.4,1
4.75,5.3,0
5.95,4.7,0
7.15,7.1,0
5.3,4.9,1
1.85,5.7,0
5.1,5.9,1
5.35,5.4,1
7,6.4,1
6.6,6.85,1
7.2,6.85,1
7.3,7,0
5.6,4.9,1
6.75,5.75,0
6.75,6.85,1
4.35,8.15,0
6.35,3.2,0
5.55,6.85,1
7.15,6.6,0
5.35,6.55,0
6.75,5.65,0
5.4,5.4,1
5.3,6.3,1
7.3,7.1,0
6.95,1.45,0
6.45,6.45,1
6.5,7.05,1
7.25,7,1
7.1,6.45,0
6.4,5.05,0
8.05,2.7,0
6.4,5,0
4.5,4.95,0
