epsilon_r,lambda_tf,operational status
9.25,5.85,0
6.8,9.25,0
3.95,6.8,0
8.7,7.6,0
8.8,5.85,0
4.05,2.6,0
7.75,6.5,0
6.8,7.2,1
2.3,3.35,0
7.9,9.05,0
5.25,5.45,0
7,9.55,0
1.15,7.5,0
9.3,2.8,0
8.55,4.3,0
9.65,1.15,0
1.7,1.35,0
6.75,9.45,0
5.05,3.15,0
7,7.05,0
2.1,2.85,0
1.3,2.8,0
1.05,5,0
9.6,9.55,0
1,1.9,0
8.5,8.15,0
9.2,4.1,0
5.7,3.8,0
6.3,5.9,0
3.9,3.9,0
7.7,8.75,0
2.05,1.3,0
9.35,4.65,0
8.85,2.05,0
6.25,4.85,0
5.7,4,0
4.7,2.5,0
7.15,1.5,0
5.95,8.45,0
2.05,1.4,0
8.95,6.25,0
9.55,3.6,0
8.2,9.6,0
6.85,9.45,0
6.15,9.2,0
7.7,7.45,0
3.7,7.15,0
6.5,3.95,0
9.95,8.1,0
9.25,2.55,0
1.2,4,0
2.4,1.55,0
9.15,3.9,0
5,8.15,0
4.35,7.1,0
2.7,1.25,0
6.7,5.25,0
9.15,1.85,0
2.35,9.55,0
1.65,3.85,0
8.45,1.8,0
9,4.25,0
10,2.9,0
6.35,6,0
1.5,2.35,0
1.35,2.15,0
5.1,9.15,0
5.15,5.1,0
8.95,9.7,0
8.8,3.05,0
3.65,1.65,0
2.5,1.85,0
5.85,9.05,0
4.45,2.3,0
7.15,7.95,1
4.9,7.4,0
7.45,3.25,0
6.4,1.1,0
6.45,3.9,0
8.85,1.7,0
6.5,9,0
3.15,4.7,0
3.25,4.15,0
1.1,4.85,0
1.45,5.1,0
9,3.85,0
9.75,8.45,0
4.95,6.65,0
1.8,2.6,0
6.3,2.3,0
1.95,2.3,0
8.5,2.85,0
4.1,8.95,0
3.25,5.35,0
6.5,7.4,0
7.3,5.45,0
3.7,3.7,0
6.35,7.05,0
8.7,4.85,0
2.4,4.2,0
9.85,7.2,0
1,9,0
1.1,1.8,0
9.95,5.15,0
7.95,8.95,0
7.35,8.5,1
4.9,9.1,0
6.05,4.65,0
6.2,2.05,0
4.25,1.45,0
5.9,2.35,0
2.55,8.45,0
1.4,4.55,0
5.05,3.45,0
9.15,8.35,0
5.3,2.75,0
5.8,4.45,0
7.9,7.25,0
10,6.8,0
9.85,7.5,0
2,9.25,0
1.5,8.85,0
2.2,2.15,0
7.65,1.05,0
8.8,7.3,0
8.3,7,0
8.5,9.3,0
6.8,2.7,0
9,8.75,0
7.9,7.75,0
2.65,1,0
6.75,6,0
8.2,5.2,0
8.75,2.6,0
4.2,5.7,0
2.3,2.8,0
9.3,9.25,0
9.1,9,0
5.85,3.15,0
8.75,1.75,0
5.3,2.45,0
1.8,1.1,0
9.75,8.85,0
4.2,3.9,0
6.65,1.75,0
8.45,7.1,0
1.25,9.45,0
4.2,5.05,0
3.4,6.7,0
7.95,2.2,0
6,1.4,0
4.15,4.05,0
3.7,9.45,0
4.15,5.1,0
2.75,8.45,0
6.15,3.7,0
2.15,2.4,0
5,5.35,0
1.3,3.8,0
5.65,1.75,0
1.25,8.8,0
3.8,9.95,0
2.75,1.9,0
6.65,5.4,0
7.85,5.7,0
6.3,2.35,0
2.6,2.85,0
9.5,4.45,0
2.35,9.85,0
6.9,4,0
2.15,5.75,0
5.9,9.25,0
3.7,5.65,0
7.6,4.2,0
8.7,3.25,0
5.3,2.6,0
3.25,9.7,0
6,8.6,0
5.2,7.35,0
10,1.15,0
5.45,1.55,0
4.65,7.4,0
4.15,9.75,0
8.85,4,0
4.4,8.4,0
3.25,7.25,0
7.6,3.45,0
8.6,5.45,0
3.85,3.05,0
3.6,8.6,0
2.55,9.8,0
4.1,2.85,0
4.25,9.95,0
3,8.35,0
6.4,3.55,0
9.3,2.7,0
8.55,6.4,0
5.05,3.35,0
6.1,8.2,0
6.95,5,0
9.9,7.2,0
9.4,4.7,0
8.55,1.7,0
6.95,9.2,0
7.25,8.45,1
1.1,3.25,0
2.1,9.5,0
4.2,9.9,0
3.75,3.25,0
5.9,6.55,0
8.7,6.15,0
4.65,8.1,0
6.75,1,0
1.75,9.9,0
6.8,5.1,0
1.25,2.1,0
8.75,3.75,0
3.7,9.85,0
1.15,2.9,0
9.15,6,0
4.9,7.55,0
4.25,5.35,0
8,3.35,0
7.1,8.65,0
1.7,7,0
5.35,3.3,0
4.1,3.6,0
9.65,5.55,0
4.1,8.1,0
7.85,6.8,0
1.4,5.7,0
1.2,6.35,0
10,1.6,0
9.2,7.1,0
7.15,3.6,0
9.75,6.5,0
9.4,9.3,0
2,1.65,0
6,6.35,0
3.9,6.3,0
9.2,2.3,0
4.2,6.95,0
3.25,8.45,0
1.9,9.9,0
5,7,0
4.1,2.6,0
7.2,3.65,0
8.4,7.7,0
1.3,8.95,0
3.8,1.2,0
1.45,8.5,0
8.8,6.25,0
3.9,6.95,0
7.7,5.5,0
9.95,1.05,0
2.6,5.3,0
4.7,1.2,0
8.15,4.95,0
9.15,3.45,0
3.45,3.2,0
9.75,1.4,0
2.55,2.65,0
4,2.75,0
4.75,5.4,0
9.3,5.85,0
1.55,3.35,0
7.2,6.1,0
2.2,1.35,0
1.35,9.75,0
4.1,6.6,0
6.7,9.6,0
1.2,9,0
9.3,3,0
4.6,9.5,0
2.55,9.9,0
8,5.9,0
8.3,4.25,0
8.2,4.5,0
6.6,2.25,0
5.1,7.25,0
6.6,5.05,0
1.3,5.3,0
1.1,5.7,0
8.65,5.35,0
1.8,2.9,0
1.05,9.7,0
3.85,7.7,0
6.65,8.6,0
6.95,8.25,0
2.1,6.45,0
4.05,6.35,0
7.9,2.25,0
3.15,5.8,0
5.4,5.15,0
7.5,8.85,1
7.7,1.3,0
8.85,6.85,0
5.85,2,0
6.3,9.6,0
4.85,2.25,0
5.5,7.95,0
5.55,7.05,0
3.75,6.35,0
4.25,6.7,0
9.3,7.45,0
8.4,3.95,0
9.35,7.3,0
3.65,8.3,0
2.55,4.65,0
9.55,4.2,0
3.05,4.85,0
2.3,4.35,0
9.15,4.1,0
4.7,2.6,0
6.5,3.25,0
6.8,2.95,0
6,7.8,0
6.5,6.2,0
4.6,5.35,0
6.25,7.15,0
4.2,3.5,0
4,4.25,0
6.05,7.3,0
7.45,5.95,0
5.1,6.9,0
3.6,8.95,0
3,9.15,0
2.35,5,0
3.2,2.2,0
6.4,4.8,0
3.6,8.3,0
5.6,5.7,0
8.7,6.9,0
5.65,4.8,0
3.4,8.9,0
6.05,2.4,0
6.65,7.75,0
8.75,2.95,0
6.7,1.55,0
7.05,8.45,0
8,6.45,0
1.45,3.5,0
2.4,7.85,0
1.85,6.2,0
1.55,5.4,0
2.3,4.4,0
3.5,7.05,0
7,9.4,0
5.25,2.1,0
7.4,8.3,1
7.75,8.45,0
3.4,3.15,0
4,3.35,0
3.6,5.7,0
9.7,1,0
7.9,6.5,0
3.9,5.3,0
9.8,2.15,0
5.75,2.75,0
6.15,3.45,0
4.05,7.85,0
3.3,8.7,0
5.6,1.05,0
2.7,6.75,0
3.95,3.35,0
3.2,7.05,0
7.25,1.25,0
3.75,2.3,0
5.05,3.4,0
3.75,6.9,0
8.2,5.55,0
5.75,4.1,0
8.15,7.95,0
9.75,5.2,0
6.6,9.25,0
6.2,7.35,0
6.6,7.15,0
9.6,1.15,0
9.95,5.2,0
2.8,1.4,0
7.9,3.05,0
9.4,8.1,0
1.1,1.3,0
7,6.95,0
4.8,6.05,0
8,9.45,0
3.8,3.75,0
6.65,3.65,0
2.85,9.3,0
3.2,5.75,0
4.05,7.8,0
2.45,3.55,0
6.55,3.35,0
2.45,8.4,0
3,9.45,0
3.9,1.15,0
7.3,9.25,0
