epsilon_r,lambda_tf,operational status
6.6,3.95,1
7.55,7.6,0
7.35,6.85,1
8.85,10,1
6.9,6.1,1
1.7,6.85,0
3.5,3.15,0
7.7,1,0
7.25,6.85,0
4.45,3.3,0
7.3,6.95,0
8.2,9.6,0
9.35,8.85,1
8.65,6.85,0
8,5.6,0
5.6,4.3,0
8,7.8,1
6.9,6.15,0
9.2,9.45,1
8.05,7.8,1
7.15,6.65,0
1.55,3,0
6.6,5.3,1
2.5,2.15,0
5.05,3.5,0
6.65,3.9,0
8.1,8.6,1
5.45,3.5,0
6.55,5.55,0
8.5,6.55,0
5.3,3.85,1
7.9,8.7,0
9.45,9.1,0
8,9,0
6.65,5.75,0
9.6,9.55,0
9.15,8.35,1
6.7,5.75,0
9.95,2.7,0
8.85,7.4,0
8.8,7.3,1
8.1,9.25,0
5.8,3.55,1
5.8,4.45,0
8.05,5.85,1
7.75,6.85,1
8,8.95,0
8.2,6.15,1
7,7.55,0
7.65,7.9,0
6.95,6.35,0
9.65,9.85,0
6.05,4.75,1
5.4,4.05,0
8.55,7.8,1
7.9,8.45,1
7.7,7.9,1
8.6,7.8,1
5.35,3.5,0
5.95,8.25,0
7.05,6.35,1
7.35,4.8,1
8.9,7.4,0
9.35,8.65,0
1.6,4.1,0
6.15,3.5,0
9.4,8.9,0
9.25,8.6,1
8.25,6.05,0
9.65,9.95,1
8.15,5.85,0
5.05,3.55,1
8.3,9.95,1
7.6,5,0
6.1,4.8,1
9.65,9.9,0
6.35,5.3,0
8.55,6.8,1
5,3.65,0
5.05,3.65,0
5.85,4.55,0
7.75,8.05,1
4.95,3.55,0
9.1,9.45,1
7,6.25,1
7.4,7.25,0
7.85,5.5,1
6.3,3.65,0
5.4,3.95,1
7.5,6.85,1
9.2,8.25,0
6.25,3.55,0
8.2,7.8,1
5.8,4.4,1
6.65,5.7,0
7.4,7.2,0
8.6,6.75,0
7.05,4.35,0
9.25,8.55,1
4.05,3.8,0
8.8,7.2,0
8.35,9.45,1
7.85,8.45,0
8.25,9.65,1
7.2,3.2,0
8.3,6.2,0
9.1,8,0
6.05,4.85,0
8.35,6.25,0
1.85,3.75,0
8.85,9.45,1
6.2,3.55,0
9.15,9.45,1
6.55,5.5,0
7.15,4.5,0
7.25,6.75,1
9,7.7,0
9.4,9,0
6.2,4.9,1
8.45,6.45,0
7.65,5.1,0
5.5,3.55,1
5.25,3.85,0
7.4,6.85,1
6.6,5.6,0
9.2,8.4,1
9.05,8,1
6.6,5.15,1
7.6,7.65,1
6.05,1.95,0
9.25,8.35,0
8.75,7.05,0
6.3,5.1,1
8.85,7.35,0
7.65,7.85,0
7.4,4.85,1
6.55,3.9,1
9.15,8.25,1
9.2,10,1
8.05,8.95,1
9.55,9.6,1
6.6,3.85,0
4.95,3.6,0
8.65,6.8,0
7.8,6.85,1
7.75,7.95,1
7.35,7,1
8.6,8.6,1
9.2,8.45,1
2.05,7.55,0
9.55,9.55,1
7.45,4.85,0
5.45,3.55,1
8.05,5.75,0
6.1,3.55,1
5.9,3.55,1
5.35,3.95,0
4.2,9.85,0
8.15,5.9,0
8.7,10,1
6.3,5.2,0
8,5.7,0
6.25,3.6,0
9.05,7.8,0
7.55,7.5,1
8.1,9.15,1
9.7,10,0
9.65,9.7,0
9.3,8.6,0
9.15,8.3,1
8.55,6.7,0
8.45,6.4,0
8.4,6.4,0
5.45,4,1
7.85,8.55,0
5.15,3.75,0
5.6,4.15,1
5.7,4.35,0
8.05,8.6,1
7.95,7.8,1
8.65,7.8,1
5.35,2.05,0
9.1,8.05,0
8.4,10,1
8.9,7.5,0
4.95,3.5,0
9.1,8.2,1
7.15,6.55,1
8.05,5.7,0
6.05,3.5,0
7.35,3.15,0
7.9,8.5,1
6.5,5.45,0
8.25,7.8,1
7.85,8.25,1
9.25,9.45,1
7.9,6.85,1
9.55,9.7,1
6.2,5.05,0
2.25,3.05,0
5.2,3.75,1
7.35,7.1,0
8.7,7.15,1
8.25,2.4,0
6.5,5.15,1
8.5,9.45,1
6.8,5.3,1
6.85,4.1,0
6.3,5.05,1
9.6,10,1
8.6,6.7,0
6.95,6.2,1
6.9,6.05,1
1,4.8,0
9.35,8.75,0
1,5.15,0
3.85,3.3,0
8.4,6.5,1
5.95,4.65,0
9.5,9.35,0
6.6,5,1
7.85,5.4,0
5.65,4.3,0
6.4,5.3,0
6.8,4.1,0
6.4,5.35,0
9.15,8.2,0
6.9,5.3,1
8.35,6.2,0
5.65,4.2,1
6.65,5.65,1
5.75,4.4,0
8.45,6.6,1
6.6,5.55,1
6.85,4.15,0
7.55,7.7,0
6.55,5.6,0
8.25,9.75,1
9.5,10,1
6.8,3.25,0
3.15,5,0
6.5,5,1
5.55,3.55,1
5.15,3.55,1
6.1,3.5,0
8.6,6.8,0
6,4.7,0
9.55,10,1
8.5,8.6,1
6.45,3.8,0
7.45,7.2,1
5.75,3.5,0
2.1,6.65,0
9.35,8.95,1
8.2,6,0
7.7,5.2,0
7.8,7.95,1
6.95,6.3,0
7.85,5.45,0
6.1,4.95,0
7.95,8.75,0
9.4,10,1
8.55,6.65,0
5.15,3.8,0
8.35,6.35,1
9.3,8.8,1
9,9.45,1
7.1,4.45,0
8.85,7.25,0
6.6,5.5,1
5.35,4,0
8,7.95,1
7.9,8.55,1
8.55,10,1
7.45,6.85,1
5.7,4.4,0
9.35,9.45,1
9.05,7.75,0
5.5,4.1,0
1.7,7.2,0
8.8,10,1
6.3,3.6,0
6.7,5.15,1
7.6,7.6,1
6.75,5.8,1
7.95,8.7,1
8.3,6.3,1
9.35,8.9,1
9.7,9.95,0
7.05,6.45,0
9.8,4.75,0
7.25,4.55,0
5.9,4.6,0
2.6,3.5,0
7.95,2.7,0
7.8,8.2,1
5.65,4.35,0
5.75,4.45,0
6.35,3.7,0
6.2,4.95,1
2.05,1.15,0
6.95,6.25,0
7.45,7.4,0
3.3,5.25,0
7.6,5.1,0
8.2,9.55,1
9.05,9.45,1
7.75,8.25,0
8.25,6.15,0
9.55,9.65,1
7.1,6.55,0
7.45,4.95,1
5.25,3.55,1
7.25,6.9,0
7.05,6.5,0
9.45,9.15,0
9.7,9.9,0
7.6,7.7,0
7.85,8.4,0
9.45,9,0
6.8,5.95,0
9.05,7.85,0
7.9,5.5,0
5.3,3.9,0
8.4,7.8,1
7.5,7.55,0
9.25,8.4,0
7.35,7.2,0
8.25,9.45,1
7.55,7.55,1
