epsilon_r,lambda_tf,operational status
7.55,7.6,1
8.65,8.55,0
8.75,9,0
3.65,3.45,1
3.45,3.6,0
4.6,5,1
6.75,6.45,1
7.05,7.6,1
4.2,4.6,1
7.95,6.6,0
7.25,10,1
5.9,7.6,1
5.05,6.55,1
5.55,8.6,0
8.9,9.8,1
5.1,3.4,0
7.05,4.85,0
8.35,9.85,1
8.9,9.65,0
7.75,6.1,0
4.7,7.8,0
4.45,5.05,1
5.4,7.75,1
8.95,9.85,0
4.25,4.8,0
5.45,8,1
5.6,6.05,1
5.4,5.9,1
8.5,8.15,0
6.3,5.9,1
5.25,6.05,1
4.2,3.4,0
8.85,10,1
7.65,10,1
3.95,3.45,1
6.5,5.9,1
7.85,6.5,1
4.9,3.45,1
6,3.65,1
5.2,3.4,0
4.85,5.9,1
7.2,10,1
5.95,8.45,1
7.1,4.9,0
6.4,4,0
3.9,3.45,1
7,4.8,0
8.1,7.1,1
3.75,3.9,1
5.5,8.2,1
5.75,3.4,0
7.35,10,1
8.55,8.35,0
7.35,5.5,1
5.55,3.4,0
5.05,5.7,1
8.1,9.85,1
4.35,4.9,1
4.35,3.45,1
4.8,3.45,1
6.1,5.7,1
8.05,6.85,0
5.05,3.45,1
5.6,6.2,1
8.45,8.2,1
5.35,7.65,0
7.65,5.9,0
5.7,8.95,1
5.2,7.1,1
5.15,7,0
7.65,8.45,1
5.35,7.55,1
6.4,4.1,1
5.3,4.5,1
5.2,6.45,1
4.05,4.5,0
5.85,9.85,1
6.8,9.85,1
3.65,3.85,0
7.1,8.45,1
5.65,8.45,1
6.35,5.7,1
7.15,5,0
4.3,4.5,1
8.85,9.45,0
3.7,3.4,0
7.5,5.65,0
8.35,7.7,0
6.65,4.35,0
5.55,7.9,1
5.5,7.9,1
6.2,9.85,1
7.7,7.7,1
3.5,3.4,0
8.85,9.35,0
6.15,3.7,0
4.5,5,1
5.8,8.45,1
5.05,4.5,1
8.6,8.4,0
8.35,7.75,0
6.15,3.75,0
7.25,8.45,1
5.05,6.6,1
2.7,5.85,0
6.7,10,1
4.2,3.45,1
6.35,5.9,1
6.9,8.45,1
5.45,6.05,1
3.45,3.4,0
8.2,7.25,0
7.95,10,1
7.55,9.85,1
5.15,3.45,1
5.85,6.2,1
6.35,7.7,1
7.35,5.45,1
5.25,7.35,0
6.85,9.85,1
3.45,3.45,1
8.85,9.3,0
8.4,8.05,1
7.05,7.7,1
6.9,7.7,1
6.55,4.2,0
6.25,7.7,1
3.5,3.65,0
4,9.05,0
7,4.9,1
4.85,3.4,0
5.5,4.5,1
4.7,4.5,1
8.1,7.05,1
6.15,6.05,1
7.85,6.3,0
6.25,9.85,1
3.85,4.1,0
4.15,4.5,1
5.75,9.6,0
6.2,7.7,1
8.3,7.65,1
5.8,5.7,1
4.55,5.5,0
8.65,8.8,1
6.65,5.7,1
7.9,7.7,1
5.15,6.05,1
8.7,8.85,0
5.55,8.3,1
8.7,9.1,1
8.15,7.1,0
7.4,5.6,1
7.25,7.6,1
6.3,3.9,0
6.85,7.7,1
5.2,6.05,1
3.5,3.55,1
3.6,3.4,0
4.45,5.15,0
6.2,10,1
7.85,8.45,1
7.6,8.45,1
5.9,9.85,1
7.7,7.6,1
6.65,4.4,1
4.05,4.45,0
4.5,5.3,0
8.25,7.3,0
8.55,8.45,1
8.8,9.3,0
5.4,8,0
5.7,9.25,0
5.65,5.9,1
7.9,8.45,1
5.7,3.4,0
6.35,3.95,0
5.6,5.7,1
3.55,3.45,1
5.4,6.05,1
4,4.3,1
7.05,8.45,1
4.95,6.3,1
8.5,9.85,1
4.4,4.95,1
2.5,3.85,0
5.15,6.9,1
9.9,1.2,0
3.8,4,0
4.9,3.4,0
2.2,1.35,0
7.85,6.4,0
7.55,5.75,0
4.25,4.5,1
5.3,7.65,0
6.25,5.9,1
4.85,6.25,0
8.6,8.6,1
3.4,3.4,0
6.05,6.05,1
4.25,4.85,0
7.75,8.45,1
