epsilon_r,lambda_tf,operational status
3.15,6.85,0
3.7,1.95,0
8.2,3.85,0
5.8,8.4,0
2.15,6.95,0
1,4.85,0
8.1,6.6,1
4.05,2.6,0
3.65,4.5,0
8.8,5.85,0
9,8.1,1
3.35,8.25,0
2.65,8.1,0
7.25,10,0
4.05,6.6,0
8.35,5.15,0
2,4.45,0
8.1,1.7,0
2.65,1.5,0
3.95,9.2,0
9.15,9.75,1
1.4,7.45,0
3.55,7.65,0
8.5,5.6,0
1.55,1.8,0
4.8,3.3,0
5.4,5.9,0
2.65,2.6,0
5.95,5.8,0
9.5,9.55,1
4.7,1.05,0
9.3,8.45,0
8.35,1.8,0
3.15,1.95,0
8.65,6.5,0
4.75,2.75,0
10,4.6,0
1,5.9,0
7.55,3.4,0
1.9,3.65,0
3.25,1.2,0
4,8.8,0
9.6,4.05,0
4.6,5.95,0
8.85,10,1
8.9,2.75,0
3.1,1.4,0
9.55,8.75,0
4.4,1.3,0
8.2,9.6,0
3.55,8.4,0
5.1,2.85,0
4.35,5.15,0
2.8,7.2,0
1.75,3.05,0
5.5,8.2,0
5.55,3.4,0
4.45,6.9,0
3.75,5.15,0
2.75,6.7,0
8.35,5.05,0
2.65,4.65,0
5.35,7.65,0
3.05,8.6,0
7.7,3.5,0
9.3,4.65,0
5.9,2.9,0
7.3,8.05,0
7.05,3.8,0
1.3,3.3,0
7.6,8,0
6,1.35,0
1.5,2.35,0
5.55,9.6,0
2.25,8.35,0
5,5.85,0
8.95,9.7,1
4.65,8.2,0
1.6,8.8,0
5.5,7.2,0
3.7,2.6,0
1.1,5.1,0
10,7.2,0
3.2,2.45,0
1.8,9.85,0
5.15,6.4,0
3.35,5.55,0
7.9,5.25,0
4.5,9.7,0
5.8,2.45,0
6.4,6.8,0
1.7,8.4,0
3.1,4.85,0
4.6,4.15,0
3.65,7.55,0
6.6,2.3,0
5.95,8.55,0
2.1,4.95,0
7.8,7.85,1
5.2,8.8,0
7.25,1.6,0
9.25,9.75,1
2.9,3.6,0
6.35,8.85,0
7.9,5.8,1
9.95,5.15,0
3.35,2.7,0
1.8,7.95,0
1.85,5.15,0
6.7,8.8,0
2.7,6.6,0
3.15,3.9,0
6.05,4.65,1
7.7,9.1,0
9.75,3.9,0
9.35,6.6,0
3.45,7.4,0
9.05,6.1,0
9.25,4.45,0
5.2,5.85,0
7.35,8.25,0
2.2,1.65,0
1.5,6.65,0
9.15,6.2,0
8.85,1.4,0
9.55,2.55,0
4.45,6.2,0
6.1,9.8,0
1.7,7.25,0
10,7.15,0
1.45,5.05,0
8,6.55,1
2.8,3.2,0
5.65,2.25,0
8.45,1.7,0
5.45,8.85,0
7.85,3.4,0
6.75,8.6,0
4.2,8.45,0
5.8,8.85,0
2.85,4.25,0
4.3,2.6,0
2.65,1.45,0
5.65,4.75,0
7.1,6.2,1
8.5,6.95,1
4.35,3.6,0
2.35,5.6,0
5.95,7.85,0
7.35,6,1
3.4,6,0
8.2,5.35,0
8.45,5.2,0
6.25,6.05,0
5.05,7,0
4.1,8.55,0
3.8,9.95,0
3.3,9.75,0
2.9,6,0
4.95,7.7,0
1.2,9.8,0
3.35,1.5,0
7.95,6.5,1
2.15,5.75,0
4.2,6.9,0
7.75,8.6,0
4.65,2.6,0
9.15,7.55,0
7.85,1.55,0
1.95,7.1,0
3.1,6,0
2.25,6.9,0
1.7,7.8,0
4,5.15,0
4.15,9.75,0
5.75,9.7,0
6.45,7.65,0
3.5,8.55,0
4.4,2.1,0
2.35,7.6,0
8.55,4.1,0
3.55,5.55,0
9.35,6.55,0
9.65,8.5,0
4,9,0
5.2,6.05,0
2.45,9.55,0
8.8,6.2,0
9.9,9.8,0
2.8,3.4,0
6.2,9.6,0
9.25,2.3,0
4.85,9.75,0
1.15,5.2,0
2.25,4.9,0
3.85,6.3,0
5.05,3.35,0
6.4,9.2,0
6.2,2.15,0
9.1,3.6,0
5.65,7.65,0
7.55,6.15,1
6.7,5.05,1
9.55,7.3,0
8.45,4.05,0
8.5,7.3,1
2.4,3.8,0
6.7,10,0
9.1,6.25,0
9.5,2.75,0
6.15,6.65,0
3.95,7.65,0
4.25,9.1,0
10,2.85,0
2.95,1.3,0
5.3,4.8,0
6.6,6.65,0
3.7,5.5,0
2.8,4,0
1.05,3.2,0
9.15,1.1,0
3.55,1.65,0
7.55,2.3,0
2.1,5.3,0
5,3.65,0
8.65,1,0
4.25,5.35,0
2.6,8.65,0
9.9,2.8,0
9.4,3.05,0
7.85,7.05,1
7,8.55,0
7.1,2.15,0
7.25,5.35,1
9.65,5.55,0
3.25,6.5,0
2.3,3.15,0
5.65,1.1,0
6.25,6.85,0
4.55,2.55,0
6.5,4.7,1
3.85,4.1,0
2.85,6.65,0
5.45,3.15,0
5.25,3.7,1
5.8,5.7,0
2.8,3.8,0
9.55,3.55,0
3.75,9.6,0
5.7,8.2,0
9.25,1.7,0
4.2,6.95,0
4.3,4.2,0
9.6,4.3,0
3.35,3.55,0
7.25,7.6,0
6.85,7.7,0
4.1,2.05,0
7.25,8.1,0
8.3,5,0
1.1,2.95,0
6.65,4.7,1
8.35,6.25,0
2.45,6.2,0
5.3,5.8,0
5.75,5.45,0
1.6,5.65,0
5.8,8.05,0
7.7,5.5,1
3.55,2.1,0
5.25,3.85,0
4,4.3,0
3.55,3.05,0
2.05,6.3,0
5.6,1.5,0
2.65,10,0
2.55,2.65,0
5.15,6.9,0
9.1,6.5,0
8.4,5.95,0
10,6.9,0
5.05,3.8,0
5.6,5.45,0
7.65,2.5,0
9.35,5.9,0
9.15,9.15,1
9.15,4.35,0
2.45,3.75,0
1.4,5.15,0
3.6,3.5,0
2.05,3.3,0
2.8,6.3,0
7.95,4.25,0
6.15,6.45,0
7.5,5.3,1
5.65,5.65,0
3.05,9.8,0
3.15,1.2,0
3.95,8.6,0
3.4,2.9,0
8.15,3.65,0
8.95,3.65,0
3.65,1.95,0
4.8,7.7,0
6.9,1.35,0
4.55,8.75,0
4.05,8.95,0
4.1,6.65,0
7,7.85,0
4.6,1.65,0
2.95,3.2,0
9.35,8.55,0
1.85,7.5,0
3.75,9.05,0
9.2,9.55,1
3.55,4.1,0
3,9.25,0
3.65,8.3,0
3,6.65,0
8.25,5.05,0
9.15,6.05,0
3.15,1.75,0
2.15,6,0
1.55,7.15,0
5.65,10,0
7.55,8.15,0
2.55,1.5,0
1.2,3.3,0
6.4,3.35,0
2.85,6.6,0
5.8,8.1,0
7.7,9.6,0
7.55,2.5,0
2.7,9.9,0
5.1,8.1,0
9.45,2.7,0
2.8,9.3,0
4.3,5.75,0
7.1,9.4,0
2.6,1,0
7.7,2.75,0
9.7,2.65,0
6.25,7.65,0
1.15,4.9,0
6.65,7.75,0
5.9,2.2,0
6.65,8.25,0
8.6,9.35,1
2.3,4.4,0
6.5,1.1,0
8.95,8,1
5.95,5.65,0
9.35,1.25,0
7.3,2.3,0
3.35,7.65,0
4.95,3.6,0
1.05,4.05,0
6.95,4.9,1
5.1,6.95,0
5.8,7.5,0
8.9,5.85,0
6.1,3.55,1
7.75,3.45,0
7.15,4.2,0
1.3,7.15,0
6.5,2.45,0
7.6,8.9,0
8.45,2.65,0
2.8,3.5,0
3.05,3.6,0
6.35,5.45,0
1.8,9.8,0
8.9,5.4,0
1.1,3.15,0
5.95,2.75,0
7.25,1.4,0
5.95,10,0
1.55,2.85,0
2.05,1.5,0
7.4,4.85,1
5.6,4.6,0
9.35,2.5,0
9.55,4.7,0
1.55,1.7,0
1.1,1.3,0
9.1,7.3,0
6.65,3.65,0
7.2,4.15,0
1.3,2.4,0
2.85,9.3,0
9.85,4.6,0
1.7,2.3,0
3.05,2.35,0
3.05,9.5,0
3.2,6.55,0
1.3,7.8,0
9.7,3.65,0
8.75,1.5,0
6.75,1.4,0
3.6,3.25,0
5.25,6.4,0
6.55,6.7,0
5.7,8.3,0
9.2,4.15,0
2.55,2.75,0
9.5,5.3,0
5.45,1.5,0
8,2.9,0
2.45,8.4,0
6.7,7.3,0
2.45,7.8,0
7.95,4.35,0
1.85,6.3,0
7.55,8.2,0
2.8,4.1,0
8.35,1,0
1.3,9.15,0
8,7.35,1
3.9,4.25,0
2.6,3.7,0
6.15,5.95,0
3.4,6.95,0
6.15,7.5,0
5.7,4.95,0
2.55,2.4,0
1.75,7.45,0
1.7,5.55,0
7.75,6.25,1
5.75,7.85,0
9.95,7.45,0
9,2.45,0
8.15,3.55,0
4.65,9.5,0
6.65,2.05,0
6.15,4.25,1
7,5.8,1
5.5,5.6,0
6.6,9.45,0
4.55,1,0
4,4.9,0
9.25,4.25,0
2.8,9.55,0
4.55,5.2,0
7.85,4.95,0
4.65,1.5,0
3.6,9.4,0
1.3,8.15,0
1.45,8.15,0
1.55,6.4,0
5.3,8.7,0
6.15,1.2,0
3.55,8.8,0
3.25,5.2,0
9.2,4.35,0
4.25,3.3,0
1.55,4.05,0
4.8,4.1,0
9.85,1.65,0
9.55,2,0
6.05,3.5,0
5,6.5,0
8.55,7.45,1
1.5,1,0
4.2,5.15,0
9.7,2.95,0
7.9,6.85,1
7.35,4.2,0
2.65,7.65,0
7.8,1.85,0
8.45,4.45,0
2.4,3.75,0
8.95,7.85,1
3.5,3,0
4.15,9.15,0
4.35,9.3,0
6.9,1.25,0
2.35,1.75,0
9.35,9.8,1
1.6,6.4,0
2.8,2.85,0
1.4,2,0
2.9,8.75,0
7.85,8.55,0
2.1,2.05,0
2.7,7.15,0
2.95,5.15,0
3.1,5.15,0
8.75,8.05,1
8.45,4.6,0
5.55,1.05,0
6.7,6.35,0
9.85,7.25,0
5.2,2.05,0
9.6,3.05,0
5.1,7.9,0
4.3,5.5,0
7.05,5.6,1
5.5,7.35,0
7.6,2.9,0
1.9,5.85,0
2.05,4.6,0
4.15,2.05,0
1.6,7.55,0
5.7,6.4,0
8.2,7.75,1
7.4,7.8,0
1.15,7.85,0
3.4,1.9,0
3.8,2.8,0
3.35,9.55,0
3.05,3.05,0
6.9,6.05,1
5.35,4.9,0
5.4,3.7,1
1.2,3.85,0
1.1,2.35,0
4.15,9.2,0
9.1,8.3,1
2.75,3.05,0
2.55,7.25,0
8.05,6.9,1
5.85,2.05,0
7.35,4.4,0
5.35,7.2,0
8.45,7.6,1
3.6,3.45,0
4.6,10,0
2.6,3.35,0
3.05,2.7,0
5.65,1.45,0
7.45,8.5,0
8,2.7,0
6.9,7.15,0
7.05,3.55,0
9.85,3.15,0
5.8,8.15,0
1.55,3.75,0
5.5,3.35,0
7.9,4.1,0
8,9.6,0
3.6,3.05,0
4.95,10,0
1.65,5.85,0
7.55,4.45,0
9.6,10,1
4.4,9.5,0
8.35,4.95,0
3.45,1.05,0
9.65,5.35,0
5.15,8.25,0
8,1.8,0
6.05,8.1,0
8.55,9.4,1
8.6,6.6,0
3.85,3.3,0
5.5,8.35,0
4.4,2.15,0
4.45,2.2,0
8.4,6.95,1
8.25,8.05,1
5.8,4.05,1
8.55,9.9,1
2.5,6.3,0
6.95,8.3,0
2.25,6.1,0
2.25,8.95,0
5.15,1.5,0
2.55,6.25,0
1.5,5.4,0
1.5,3.5,0
5.75,5.95,0
4,4,0
1.35,4.95,0
3.15,2.35,0
9.9,6.4,0
7.05,6.75,0
4.1,1.9,0
8.2,1.05,0
8.25,7.05,1
1.55,1.95,0
6.7,2,0
9.35,7.05,0
7.85,1.15,0
8.1,6.1,1
6.8,8.7,0
8.8,9.5,1
8.5,6.45,0
1.05,3.9,0
2,2.65,0
4.4,9.9,0
5.05,7.05,0
5.45,9.55,0
5.35,9.95,0
9.25,2.4,0
6.5,8.85,0
7.35,4,0
2.45,2.6,0
2.35,1.55,0
2.35,4.4,0
6.05,2.05,0
1.15,6.95,0
8.35,9.6,1
7.65,3.4,0
1.95,3.3,0
8.9,4.25,0
2.95,7.55,0
9.55,6.2,0
3.6,3.9,0
1.2,9.85,0
9.65,8,0
9.25,9.15,1
4.35,9.75,0
2.5,2.7,0
6.95,3.55,0
1.55,5.8,0
8.05,9.55,0
8.05,9.6,0
8.65,2.45,0
4.45,6.05,0
2,2.55,0
2.3,3.5,0
8.3,5.05,0
6.95,3.4,0
1.1,4.8,0
8.9,7.35,0
3.45,7.85,0
3.55,7.7,0
1.7,1.85,0
3.55,6.7,0
2.1,3.7,0
6.85,3.5,0
1.15,2.15,0
6.15,8.75,0
1.1,6.6,0
6.05,3.1,0
1.35,1.75,0
4.3,7.15,0
8.4,4.15,0
7.1,8.35,0
1,3.65,0
7.35,5.25,1
7,2.95,0
5.5,9.1,0
1.8,5.35,0
2.35,7.85,0
8.75,5.75,0
8.25,7.15,1
1.05,9.65,0
8.85,9.95,1
3.6,5.4,0
9.05,8.4,1
7.3,7.7,0
1.6,6,0
5.4,7.5,0
2.1,5.4,0
7.55,8.8,0
5.75,4.4,0
2.25,7,0
4.95,8.3,0
3.75,5.7,0
3.9,2.85,0
1.15,9.35,0
9.5,8.1,0
1.65,1.9,0
8.4,5.8,0
4.25,4.3,0
7,4.6,1
10,10,0
7.1,5.65,1
9.9,7.6,0
6.85,7.6,0
7.05,2.25,0
7.2,9.65,0
6.8,2.8,0
4.15,3.85,0
2.15,4.65,0
8.75,4.2,0
1,7.4,0
3.8,6.3,0
3.75,2.95,0
6.65,2.1,0
4.65,5.3,0
6.2,9.1,0
6.4,6.55,0
9.3,6.8,0
1.5,1.95,0
2.9,9.05,0
2.9,9.75,0
4.7,2.75,0
4.95,6.05,0
4.45,5.2,0
8.1,4.9,0
2.05,2.1,0
9.35,5.05,0
8.9,2.5,0
4,8.6,0
6.05,7.6,0
8.25,6.6,1
3.45,9.2,0
6.1,6.95,0
3.3,2.85,0
2.35,7.65,0
8.65,4.65,0
4.8,8.8,0
8.1,7.45,1
2.85,1.1,0
4.6,9.1,0
6.9,3.65,0
5.25,5.2,0
7.1,4.45,0
8.55,10,1
9.4,5.45,0
2.9,8.6,0
1.65,6.65,0
3.6,9.45,0
4.7,7.75,0
2.25,5.05,0
8.2,7.2,1
3.45,8.6,0
5.05,2.2,0
9.95,3.55,0
2.7,8.75,0
9.45,3.6,0
9.5,4,0
8.05,3.9,0
6.35,4.85,1
9.25,8.9,1
1.95,4.1,0
5.6,6.9,0
8.25,4.15,0
5.15,9.55,0
8.95,1.25,0
5.65,1.4,0
8,2.4,0
6.85,1.55,0
8.4,5.55,0
2.1,1.45,0
1.4,1.95,0
4.35,9.65,0
10,8.2,0
4.2,4.35,0
5.2,5.35,0
4.45,5.8,0
6.65,6.3,0
4.95,8.95,0
9.25,6.05,0
2.2,3.45,0
7.7,4.25,0
5.65,3.15,0
4.3,4.35,0
1.45,5.85,0
4.2,6.7,0
5.9,6.7,0
1.35,2.45,0
8.6,1.05,0
2.7,6.4,0
4.5,7.7,0
4.8,7.8,0
7.6,9.65,0
6.9,4.7,1
6.55,7.2,0
9.1,1.3,0
3.15,9.2,0
3.25,7.7,0
7.75,9.8,0
6.2,6.1,0
9.15,2.7,0
3.95,3.8,0
3.75,9.15,0
5.75,3,0
8.8,1.25,0
7.9,7.2,1
2.9,2.4,0
3.45,7.25,0
3.3,9,0
6.7,2.95,0
7.7,5.95,1
4.35,3.05,0
4.35,2.85,0
3.5,7.65,0
1.85,8,0
1.3,1.15,0
9,2.05,0
2.6,6.25,0
2.6,5.4,0
9.95,4.95,0
3.9,1.4,0
1.5,8.2,0
1.95,1.95,0
8.3,5.8,0
5.7,9.65,0
8.1,6.8,1
4.15,3.65,0
8.65,4.2,0
6.05,7.35,0
7.65,4.65,0
5.65,6.9,0
9.8,5.3,0
8.45,2.6,0
6.85,7.9,0
2.1,6.7,0
3.5,2.45,0
4.15,7.3,0
5.35,6.85,0
7,8.2,0
2.1,6.25,0
9.7,8,0
1,9.1,0
1.9,1.65,0
3.95,3.05,0
8.3,6.3,1
8.75,5.6,0
2.35,6,0
9.35,1.4,0
9.95,2.15,0
5.6,8.3,0
6,6.75,0
3.3,4,0
3.95,8.45,0
5.65,2.6,0
3.6,3.35,0
8.45,9.3,1
7.95,2.7,0
4.55,5.6,0
1.45,7.75,0
1.65,3,0
1.25,6.45,0
5.2,9.5,0
3.75,8.7,0
8.5,7.25,1
6.4,9.25,0
3.6,6.2,0
6.15,5.9,0
5.2,9.8,0
5.05,7.25,0
7.85,5.2,0
7.9,5.2,0
1.85,2.8,0
