epsilon_r,lambda_tf,operational status
5.85,5.3,0
6.95,7.05,0
2.6,9.95,0
6.65,8.55,0
1.3,1.55,0
8.75,3.15,0
8.55,8.05,0
7.75,6.5,0
4.75,6.1,0
1.15,6.75,0
4.25,7.95,0
9.3,7.6,0
6.8,1.1,0
8.35,5.15,0
7.85,5.9,0
4.45,2.05,0
2.65,1.5,0
1.3,3.2,0
5,1.25,0
6.85,9.15,0
1.15,5.05,0
3.55,8.45,0
9.6,9.55,0
5.85,8.5,0
4.25,2.1,0
5.95,5.8,0
9.3,8.45,0
7,1.8,0
8.5,7.85,0
9.3,5.05,0
1.8,7.35,0
7,6.8,0
8,9.1,0
7.7,8.75,1
1.95,9.15,0
2.05,1.3,0
8.85,2.05,0
4.3,2.55,0
5.2,3.65,0
2.05,1.4,0
2.55,2.5,0
4.5,7.05,0
3.95,7.6,0
3.4,6.05,0
4,8.15,0
8,2.2,0
5.05,1.9,0
6.8,5,0
7.15,4.85,0
1.8,5.2,0
9.6,4.55,0
4.1,2.3,0
4.5,1.8,0
3.25,5.4,0
8.85,4.45,0
1.3,9.75,0
2.05,9.4,0
2.45,6.35,0
9.1,8.5,0
4.8,3.45,0
7.9,1.8,0
2.7,9.3,0
4.35,7.1,0
5.35,8.45,0
2.75,9.55,0
7.1,5.45,0
3.05,6.3,0
6.7,5.25,0
6.05,5.2,0
6.05,3.75,0
1.3,3.3,0
6.75,6.1,1
8.5,8.4,0
8.8,8.7,0
1.3,6.5,0
5.5,4.75,0
3,3.75,0
1.1,5.1,0
10,7.2,0
7.1,1.4,0
2.5,9.9,0
6.5,9,0
6.85,1.75,0
3.7,5.25,0
9.1,1.1,0
5.4,2.05,0
5.95,6.85,0
6.65,1.05,0
1.25,4.75,0
9.85,2.1,0
9.85,6.45,0
6,4.45,0
8.2,4.05,0
7.1,8.7,1
6.35,9.5,0
4.7,7.8,0
6.55,4.45,0
2.95,5.05,0
2.6,9.9,0
4.3,6.25,0
3.3,2.1,0
5.55,8.75,0
7.5,8.95,1
4.7,5.4,0
7.05,5.35,0
7.8,9.65,0
2.5,2.55,0
8.4,4.4,0
1.35,9.2,0
7.55,9.95,1
6.35,1.8,0
5.85,8.75,0
2,3.95,0
1.4,4.3,0
5.6,7.55,0
2.55,3.65,0
5.4,9.4,0
4.6,8.35,0
8.25,3.25,0
2.45,4.6,0
6.7,8.8,0
1.95,1.75,0
4.45,3.7,0
3.15,3.9,0
2.55,8.45,0
4.25,5.15,0
6.95,3.3,0
6.85,6.3,1
8.6,9.3,0
9.25,4.45,0
5.25,1.6,0
8.3,2.4,0
8.3,1.35,0
6,3.3,0
1.75,1.6,0
2.2,2.15,0
8.5,2.75,0
1.5,6.65,0
4.6,8.95,0
8.15,9,0
5.45,6.25,0
4.95,4.3,0
6.1,9.8,0
8.75,2.6,0
2.55,9.55,0
5.75,1.1,0
9.9,1,0
6.25,6.6,0
6.85,1.85,0
8.95,2.35,0
5.65,2.25,0
7.15,2,0
7.2,3.5,0
1.6,2.6,0
1.85,2.55,0
7.9,5.05,0
5.75,7.8,0
9.2,9.75,0
9.6,4.4,0
8.7,1.15,0
4.15,4.05,0
2.1,3.95,0
5.85,1.7,0
5.95,7.85,0
6.1,8.15,0
8.95,8.1,0
6.05,1.75,0
9.65,1.75,0
1.1,1.25,0
9.75,4.5,0
4.05,3.05,0
8.4,4.1,0
9.5,4.45,0
9.35,2.6,0
5.25,7.35,0
6.9,4,0
3.1,3.25,0
2.15,5.75,0
4.7,3.95,0
1.45,7.55,0
5.65,1.65,0
7.95,6,0
9,1.5,0
6.25,7.7,0
2.85,6.8,0
9.05,2.9,0
4,9.05,0
6.8,8.1,1
3.05,7,0
9.7,8.55,0
5.2,5.65,0
5.15,8.1,0
1.7,7.8,0
3.4,9.3,0
4,2.6,0
8.15,1.85,0
8.25,7.1,0
6.95,3.5,0
1.2,10,0
8.15,7.1,0
9.25,8.55,0
2.05,8.25,0
2.7,7.25,0
5.6,3.65,0
9.7,4.9,0
4,9,0
8.5,7.9,0
2,1.25,0
9.1,8,0
2.45,9.55,0
8.3,8.1,0
5.15,3.6,0
3.4,2.75,0
4.9,5.75,0
8.8,9.3,0
2.6,2.95,0
1.5,5.75,0
5.75,4.7,0
9.3,2.7,0
3.4,8.1,0
2.5,2.8,0
5.35,3.5,0
8.45,6.1,0
9.75,8.8,0
5.05,5.1,0
9.5,2.95,0
5.65,7.65,0
3.8,7.25,0
9.8,6.9,0
7.25,8.45,1
8.55,4.75,0
2.05,5.4,0
6.15,6.65,0
5.85,7.9,0
6,5.85,0
8.2,7.25,0
7.05,9.15,1
2.4,2.7,0
2.8,4,0
4.2,1.45,0
4.2,6.2,0
9.15,1.1,0
4.8,2.1,0
5.95,9.4,0
3.95,4.75,0
2.8,8.45,0
9.8,7.9,0
1.25,2.1,0
9.95,9,0
6.6,6.9,0
8.2,8.15,0
4.7,7.95,0
7.1,8.1,1
1.6,5.55,0
9.5,6.95,0
7.85,7.05,0
2.95,1.8,0
2.85,6.5,0
7.4,7,0
5.6,2.85,0
6.7,8.3,1
7.85,6.8,0
4.55,2.55,0
9.35,4.9,0
1.25,5.65,0
9.2,7.1,0
5.45,3.15,0
1.8,2.8,0
2.35,2.35,0
6.9,7.55,0
5.45,7.45,0
7.05,6.95,0
2.65,1.75,0
5.55,9.25,0
8.8,7.2,0
7.85,2.6,0
5.55,5.75,0
8.45,3,0
9.6,1.85,0
5.7,2.7,0
3.45,4.2,0
8.15,9.9,0
6.25,9.95,0
8.8,3.85,0
6.65,4.7,0
6.05,9.15,0
5.3,8.5,0
2.55,4.8,0
2.8,6.9,0
1.05,1.85,0
1.7,5.45,0
9.65,2.35,0
1.5,8.4,0
3.65,6.05,0
2.65,7.45,0
2.75,1.85,0
2.55,6.35,0
4.7,1.45,0
8.15,4.95,0
4.85,4.35,0
6.6,5.6,0
8.95,4.25,0
6.5,6.1,0
5.85,7.65,0
2.2,7.8,0
4.95,8.85,0
2.7,8.8,0
2.35,9.3,0
8.15,1.2,0
7.6,6.45,0
2.9,5.05,0
8.8,2.75,0
1.8,1.45,0
1.2,3.25,0
9.6,8.45,0
9.95,2.05,0
9.7,1.7,0
2.4,2,0
1.4,1.9,0
3.1,4.3,0
4.05,5.5,0
1.1,7.35,0
2.15,5,0
6.6,5.05,0
4.15,2.75,0
5.4,5.15,0
5.45,3.75,0
4.65,3.95,0
8.45,4.7,0
4.65,9.1,0
9.9,8.85,0
4.95,1.4,0
7.1,6.8,1
6.85,3.45,0
3.35,4.75,0
6.4,3.25,0
1.1,2.05,0
4.7,6.15,0
7.35,1.95,0
8.15,6.4,0
9.2,10,0
9.45,7.2,0
7.9,2.05,0
5.9,3.25,0
3.55,1.2,0
5.45,5.75,0
4.25,7.85,0
8.6,8.7,0
8.4,6.7,0
5.75,1.95,0
3.2,2.2,0
2.35,5,0
9.55,2.5,0
3.8,9.65,0
4.65,4.5,0
9.45,2.7,0
6.7,3.6,0
6.35,3.95,0
5.2,9.3,0
3.6,8.3,0
1.85,5.65,0
5.2,6.7,0
1.45,6.8,0
3.05,5.05,0
3.05,3.7,0
1.45,3.5,0
1.45,6.55,0
8.45,4.65,0
9.1,8.8,0
7.1,3.4,0
9.2,8.4,0
6.65,8.25,0
7.7,2.1,0
9.35,1.25,0
4.85,1,0
4.2,5.4,0
7.45,5.15,0
6.95,1.95,0
9.8,6.4,0
8.6,2.75,0
2.95,7.7,0
7.55,2.6,0
9.7,4.45,0
3.8,3.9,0
4.4,2.9,0
1.35,3.1,0
4.5,9.45,0
3.4,3.15,0
9.95,5.35,0
8.6,8.6,0
5,3.25,0
7.4,2.5,0
4.9,4.65,0
8.65,6.8,0
5.55,6.15,0
1.1,1.75,0
8,1.5,0
6.65,7.45,0
3.9,1.75,0
5.15,5.7,0
2.45,3.6,0
7.35,1.75,0
1.5,3.25,0
2.8,3.5,0
9.9,7.9,0
6,3.6,0
4.05,5.3,0
9.05,9.1,0
9.7,4.4,0
3.95,2.95,0
2.95,2.9,0
8.4,9.2,0
3.95,7.7,0
4.3,8.1,0
9.25,8.75,0
1.35,7.3,0
9.1,5.75,0
9.6,5.5,0
9,4.65,0
3.45,1.3,0
3.75,6.9,0
6.5,2.3,0
1.75,9.25,0
2.65,3.3,0
8.15,7.95,0
4.4,1.45,0
9.4,4.75,0
2.05,5.6,0
5.95,4.4,0
7.9,3.05,0
2.9,8.8,0
3.8,3.75,0
3.9,9.45,0
5.95,5.2,0
4.05,8.5,0
6.5,3.9,0
9.95,6.65,0
