epsilon_r,lambda_tf,mu_minus,operational status
5.6,9.35,-0.3825,1
5.4,6.4,-0.3475,1
9.5,5.75,-0.19,1
5.45,6.75,-0.35,1
9.5,3.8,-0.1475,1
8.45,5.65,-0.21,1
5.35,9.95,-0.405,1
7.8,8.95,-0.27,1
7.05,10,-0.3025,1
7.6,6.35,-0.2475,1
8.45,2.35,-0.11,1
6.35,8.85,-0.3325,1
7.5,8.6,-0.2825,1
5.55,3.65,-0.2475,1
8.3,5.15,-0.205,1
6.1,9.85,-0.355,1
4.3,4.6,-0.375,1
5.3,5.75,-0.34,1
8.3,7.5,-0.24,1
7.35,2.55,-0.14,1
9.1,9.4,-0.23,1
8.15,8.5,-0.2575,1
8.4,4.05,-0.1775,1
9.5,7.6,-0.21,1
5.65,7.7,-0.3525,1
8.45,3.7,-0.1625,1
8.3,10,-0.26,1
6.65,9.9,-0.325,1
6.25,6.9,-0.31,1
5.9,2.6,-0.175,1
4.5,3.1,-0.2675,1
6.5,8.05,-0.315,1
8.75,7.4,-0.225,1
9.25,3.65,-0.1475,1
7.85,9.25,-0.2625,1
7.85,7.8,-0.2575,1
5.15,8,-0.4,1
6.55,7.7,-0.31,1
5.5,6.2,-0.34,1
8.75,7,-0.2225,1
7.35,9.2,-0.295,1
7.55,6.25,-0.2475,1
6.65,5.05,-0.25,1
7.85,4.45,-0.2,1
8.6,5.5,-0.205,1
9.1,7.95,-0.225,1
6.05,7.3,-0.3275,1
5.9,7.3,-0.34,1
5.6,7.75,-0.365,1
5.1,7.7,-0.3975,1
4.05,3.15,-0.305,1
5.25,5.95,-0.3425,1
8.45,7.95,-0.245,1
9.45,7.15,-0.205,1
5.65,3.15,-0.22,1
6.25,9.2,-0.345,1
4.75,4,-0.3075,1
7.05,9.65,-0.3125,1
4.8,6,-0.3825,1
6.45,7.1,-0.305,1
4.4,3,-0.265,1
5.3,5.3,-0.3275,1
6.05,6.6,-0.3175,1
7.6,7.9,-0.2675,1
7.3,4.65,-0.22,1
4.1,3.55,-0.325,1
5.75,8.75,-0.37,1
6.4,9.4,-0.335,1
4.15,3.2,-0.295,1
7.55,5.05,-0.2225,1
4.65,5.5,-0.375,1
9.4,3.95,-0.155,1
5.7,5.35,-0.3075,1
8.5,9,-0.2525,1
5.9,8.9,-0.3625,1
9.25,6.8,-0.2075,1
9.65,9,-0.2225,1
7.65,9.25,-0.27,1
4.6,5.25,-0.3675,1
4.8,3.05,-0.25,1
6.4,2.35,-0.1475,1
7.6,10,-0.2775,1
10,9.45,-0.2175,1
8.35,9.8,-0.2625,1
7.1,7.8,-0.2875,1
8.1,7.2,-0.2425,1
8.15,4.2,-0.1825,1
6.8,6.65,-0.28,1
5.35,9.9,-0.3925,1
5.65,2.9,-0.2025,1
5.5,5.1,-0.31,1
4.85,3.9,-0.3,1
