epsilon_r,lambda_tf,operational status
7.35,6.85,1
7.55,7.6,0
9.65,7.05,1
5.15,2.85,1
7.75,6.7,1
7,3.05,0
4.35,1.6,0
6.35,9.8,0
8.1,6.6,1
7.25,6.85,0
9.75,7.35,1
9.4,6.3,0
9.05,5.75,1
4.7,2.35,1
7.95,6.6,1
4.75,2.6,1
6.25,2.55,0
7.9,9.05,0
8.6,9.25,1
4.55,1.75,1
10,8.65,1
6.75,2.85,0
5.4,2.05,0
5.1,3.4,0
8.05,9.5,0
6.95,6,0
5.05,3.15,1
6.15,4.6,0
7.6,3.35,0
4.6,2.35,0
6.55,3.6,1
4.75,2.55,0
6,4.45,0
5.1,3.2,1
4.2,6.65,0
7.9,8.7,1
8.65,7.15,1
8,4.1,0
5.65,2.2,0
6.95,5.9,1
4.4,2.25,0
4.25,2.1,1
2.75,1.45,0
5.8,3.55,1
6.35,4.25,1
5.45,3.2,1
10,7.9,0
8.5,4.7,0
4.25,1.6,1
8,9.1,1
10,8,1
8.85,10,1
7.15,3.3,1
2.55,1.4,0
4.3,2.55,0
5.7,4,0
3.15,1.65,0
3.9,1.95,0
6.45,3.6,1
5.2,3.4,1
5.75,3.6,1
7.2,4.2,1
5.9,2.3,0
7.7,9.7,0
7.3,6.95,0
7.95,8.95,1
5.05,1.9,0
4.9,1.85,0
5.7,8,0
4.85,7.35,0
10,9.45,1
4.2,2.15,0
5.1,2.85,1
5.9,2.35,0
6.9,3.1,1
4.8,1.85,1
5.3,2,0
4.95,1.9,1
2.5,2.45,0
9.35,6.6,1
6.6,5.3,0
8.1,9.85,0
8.1,9.65,1
10,7.95,0
7.85,8.7,0
8.15,9.8,1
5.25,3.15,1
3.65,1.85,0
8.1,9.8,0
6.55,5.25,0
6.3,4.25,1
5.75,2.85,1
7.8,4.2,1
5.95,4.2,1
9.85,7.5,0
8.05,8.45,1
8.1,7.1,1
9,6.6,1
8.7,6.6,1
8.65,6.6,1
8.05,9.75,0
8.2,9.25,1
8.1,9.25,1
7.45,6.6,1
