epsilon_r,lambda_tf,operational status
7.3,7.5,1
3.7,2.6,0
7.25,6.85,0
6.9,7.65,0
5.4,3.9,0
6.15,2.6,0
7.7,9.5,0
4.1,2.65,0
7.25,10,1
7.9,9.05,1
4.7,3.35,0
7.25,7.35,1
7,9.55,0
6.55,5.8,1
8.3,1.45,0
6.95,9.55,0
7.1,9.9,1
3.35,7.35,0
8.05,9.5,0
5.15,5.05,0
6.85,9.15,0
6.55,5.55,1
7.1,8,1
4.8,3.3,1
6.9,6.65,0
6.65,5.75,1
7.85,9.5,0
6.5,7.9,0
6.7,5.75,0
4.1,2.9,0
10,7.9,0
6.15,4.8,0
7,6.8,0
7,6.7,1
7.5,6.9,0
7.65,10,1
2,3.95,0
6.65,6,1
6.9,6.1,0
5.2,3.65,0
7.2,10,1
7.7,9.7,0
5.6,4.3,1
6.05,4.65,0
6.9,6.15,0
7.15,6.65,0
7.35,10,1
5.05,3.5,0
7.85,8.7,0
4.8,3.45,0
5.7,4.15,0
5.05,3.45,0
6.65,8.2,0
3.1,2.15,0
5.35,3.75,0
8.05,5.85,0
7.15,8.55,1
7.85,8.85,1
6.2,4.85,0
7.6,8,1
4.15,2.7,0
6,4.55,0
9.35,4.35,0
6.95,6.35,1
6.05,4.75,1
4.3,2.85,0
5.4,4.05,1
5.75,4.7,0
7.7,9.55,0
4.9,3.3,0
3.75,2.45,0
3,2.05,1
7,6.85,0
6.75,8.6,0
3.95,2.7,1
7.1,7.05,0
7.5,7.75,1
6.95,9.2,1
6.9,6.3,1
7.2,7.65,0
7.9,8.85,0
4,2.7,1
7.35,7.4,1
4.1,2.75,1
7,9.45,1
5.05,3.55,1
6.1,4.8,1
5.05,3.65,1
6.9,8.55,1
3.45,2.3,1
5,3.65,0
7.15,7.15,1
7.05,7.7,1
6.9,7.7,1
7.1,7.1,0
7,8.55,1
7.75,8.6,1
4.95,3.55,1
3.4,2.35,0
3.75,2.55,1
6.9,8.95,1
6.7,8.3,1
7.4,7.25,0
7.65,9.55,0
5.4,3.95,1
5.25,3.7,0
6.45,7.65,0
3.65,2.45,1
2.05,3.15,0
6.65,5.7,0
5.8,4.4,1
2.35,8.25,0
4,2.6,0
4.2,2.95,0
5.9,7.55,0
7.05,9.75,0
7.05,6.95,0
5.6,4.05,0
4,2.8,0
7.25,7.6,0
6.85,7.7,1
7.9,9.1,1
3.25,2.3,0
6.7,8.4,0
5.15,3.6,0
5.85,4.35,0
6.9,5.5,0
4.85,3.55,0
5.5,4.2,0
4.1,2.85,0
6.6,8.1,0
6.2,4.9,0
4.6,3.3,0
5.4,4.15,0
6.55,7.75,1
5.25,3.85,1
6.6,5.6,0
6.65,8,1
6.65,8.25,0
7.1,6.95,1
4,2.75,0
7,9.4,1
4.4,3.1,0
4.9,3.4,1
3.8,2.55,1
4.95,3.6,0
7.8,9.45,1
4.4,2.9,0
1.2,9,0
7.75,8.45,0
6.8,8,1
6.9,6.6,0
6.95,6.6,1
7.1,7.65,0
5.65,4.15,0
4.3,2.9,1
3.9,3.25,0
7.5,7.7,1
4.4,2.95,0
6.85,8.8,1
5.3,3.8,1
6.55,5.5,0
4.15,2.75,0
4.65,3.3,0
7.25,7.1,1
4.35,3.1,0
6.35,5.45,0
3.8,2.5,0
9.9,8.85,0
6.85,9,0
5.55,4.05,0
7.9,9.5,0
6.3,5.1,0
6.3,5.3,1
7,6.9,0
7.7,8.4,1
3.25,2.15,0
3,6.65,0
7,6.95,0
8,9.45,1
6.85,8.95,0
6.9,9.2,0
6.65,5.95,1
6.65,7.95,1
3,1.95,0
2.95,6.95,0
5.35,3.95,1
6.5,5.75,0
3.2,2.2,0
7.7,9.6,0
7.3,7.55,1
7.95,9.85,0
4.65,4.5,0
3.6,2.35,0
5.4,3.85,0
