epsilon_r,lambda_tf,mu_minus,operational status
9,3,-0.1375,1
8.4,6.6,-0.235,1
6.25,9.85,-0.3225,1
6.1,8.05,-0.31,1
6.85,8.4,-0.31,1
5.45,7.85,-0.3375,1
7.1,8.35,-0.2875,1
4.55,5.7,-0.4025,1
4.7,8.2,-0.4525,1
4.85,9.2,-0.4575,1
8.15,7.85,-0.2425,1
4.8,5.65,-0.38,1
6.3,8.5,-0.33,1
7.35,8.9,-0.29,1
7.55,5.7,-0.2425,1
8.95,7.5,-0.2325,1
5.8,7.7,-0.345,1
8.1,2,-0.1,1
6.4,8.95,-0.3375,1
6.75,9.75,-0.31,1
5,8.05,-0.425,1
8.25,5.6,-0.22,1
6.6,3.5,-0.2075,1
6.05,5.35,-0.2975,1
5.1,10,-0.405,1
5.4,5.65,-0.34,1
7.95,4.8,-0.2125,1
5.35,2.55,-0.1975,1
6.75,9.4,-0.325,1
5.5,6.55,-0.3575,1
6.3,9,-0.33,1
4.8,9.15,-0.4525,1
5.3,7.35,-0.3825,1
6.8,7.1,-0.3,1
5.45,9.5,-0.385,1
4.9,9,-0.4375,1
4.3,4.1,-0.36,1
9.55,9.4,-0.2275,1
7.2,7.95,-0.2775,1
8.55,9.55,-0.2325,1
7.55,9.95,-0.285,1
5,8.75,-0.3975,1
7.3,8.8,-0.2775,1
6.2,8.15,-0.3225,1
7.55,4.9,-0.2275,1
6.5,9.95,-0.315,1
9.8,3.85,-0.1525,1
6.55,4.55,-0.25,1
8.35,8.4,-0.24,1
8.9,8.7,-0.2325,1
5.9,7.8,-0.3425,1
7.45,9.8,-0.285,1
8.55,9.5,-0.2375,1
6.2,8.65,-0.3275,1
6.4,7.9,-0.3275,1
9.65,8.75,-0.205,1
7.2,9.2,-0.3075,1
5,9.6,-0.4275,1
6.6,7.75,-0.2875,1
5.9,8.45,-0.325,1
4.05,3.2,-0.3175,1
8.15,6.65,-0.24,1
5.4,9,-0.3675,1
7.15,6.95,-0.2775,1
5.9,9.85,-0.3525,1
8.9,8.55,-0.24,1
6.55,5.35,-0.27,1
5.35,9.15,-0.375,1
7.3,6.85,-0.275,1
9.7,7.35,-0.21,1
4.8,5.5,-0.3725,1
6.9,4.65,-0.2375,1
8.4,8.4,-0.245,1
6.85,9.65,-0.2875,1
4.5,7.4,-0.4575,1
7.05,8.2,-0.2925,1
7.5,8.95,-0.2925,1
6.35,2.55,-0.165,1
6.35,6,-0.2975,1
4.7,2.6,-0.2325,1
7.95,8.5,-0.255,1
7.7,7.85,-0.245,1
6.65,4.4,-0.24,1
8.2,8.55,-0.255,1
6.85,9.1,-0.3075,1
5.95,6.95,-0.3375,1
8.55,9.45,-0.24,1
8.25,8.5,-0.23,1
6.2,8.65,-0.3125,1
6.3,3.3,-0.21,1
6.45,6.35,-0.3025,1
7.85,9.25,-0.2625,1
7.1,9.7,-0.2925,1
6.05,7.8,-0.345,1
9.55,9.5,-0.2125,1
7.3,3.2,-0.1775,1
9.4,6.85,-0.21,1
8.9,4.1,-0.175,1
7.8,8.35,-0.2425,1
8.2,4.5,-0.2,1
7.25,6.9,-0.2775,1
4.9,2.3,-0.195,1
8.6,8.25,-0.22,1
4.55,7.7,-0.4575,1
6.75,8.5,-0.28,1
5.55,2.5,-0.19,1
8.55,8.25,-0.225,1
7.4,5.9,-0.25,1
6.9,8,-0.285,1
6.9,9.3,-0.2875,1
5.95,9.5,-0.3575,1
7.05,9.85,-0.2975,1
8.4,9.4,-0.235,1
6.3,4.4,-0.255,1
6.1,7.85,-0.305,1
5.1,4.6,-0.325,1
7.5,9,-0.28,1
5.4,7.8,-0.3625,1
5.4,3.5,-0.2575,1
8.1,9.85,-0.25,1
5.7,4.85,-0.3,1
6.45,5.4,-0.2775,1
7.5,8.15,-0.2675,1
6.15,5.8,-0.3025,1
5.9,7.8,-0.3325,1
8.3,6.3,-0.2325,1
5.85,7.9,-0.3425,1
9.35,7.85,-0.205,1
8.85,9.05,-0.2375,1
7.1,9.7,-0.285,1
5.8,8.95,-0.3475,1
9.9,7.45,-0.205,1
7.6,9.15,-0.2575,1
6.4,8.8,-0.3075,1
5.2,9.85,-0.4075,1
9.7,8,-0.215,1
6.05,9.2,-0.3525,1
6.5,8.4,-0.315,1
6.65,3.7,-0.2175,1
8,6.65,-0.245,1
5.1,2.15,-0.1725,1
9.85,9.8,-0.2175,1
5.6,9.2,-0.365,1
4.85,4.2,-0.32,1
6.55,8.9,-0.3125,1
7.3,7.95,-0.27,1
10,7.85,-0.195,1
8.05,8.5,-0.2625,1
6.2,8.35,-0.3375,1
7.35,8.7,-0.2775,1
5.4,8.7,-0.38,1
6.3,9.15,-0.31,1
7.5,7.8,-0.275,1
9.8,9.6,-0.215,1
7.85,8.9,-0.2475,1
9.45,4.7,-0.1775,1
9.35,9.05,-0.22,1
7.5,7.9,-0.2725,1
8.1,9.9,-0.255,1
7.35,9.75,-0.29,1
7.9,8.6,-0.245,1
8.2,9.65,-0.245,1
5.4,3.85,-0.275,1
7.2,7.9,-0.285,1
5.1,8.95,-0.3825,1
8.75,9.1,-0.245,1
5.5,7.3,-0.3725,1
7,8.25,-0.29,1
6.7,2.65,-0.1625,1
7.75,8.3,-0.275,1
9.5,9.25,-0.2225,1
7.9,8.8,-0.2675,1
6.1,4.35,-0.265,1
5.6,9.45,-0.3775,1
5.45,9.6,-0.37,1
7.75,8.6,-0.275,1
8.45,8.5,-0.2425,1
9.9,5.85,-0.1875,1
9.2,8.05,-0.2175,1
5.3,9,-0.385,1
7.15,8.6,-0.28,1
8.8,3.45,-0.155,1
9.4,9,-0.23,1
7.45,6.7,-0.2625,1
7.55,9.15,-0.28,1
8.7,4.25,-0.18,1
6.4,9.8,-0.3225,1
5.55,8.85,-0.38,1
8.05,9.2,-0.2575,1
4.9,7.75,-0.415,1
4.65,5.5,-0.3925,1
5.3,8.75,-0.3825,1
7.55,8.35,-0.28,1
5.85,2.35,-0.165,1
4.35,5.15,-0.4075,1
3.9,2.4,-0.2525,1
9,2.55,-0.1175,1
6.2,8.6,-0.3225,1
7.9,7.75,-0.2325,1
9.6,9.55,-0.22,1
5.1,7.25,-0.4,1
5.35,4.2,-0.295,1
6.75,8.35,-0.3075,1
4.6,6.55,-0.42,1
4.95,8.05,-0.3975,1
9.95,9.9,-0.205,1
6.9,7.2,-0.2925,1
8,9.3,-0.2575,1
8.75,5.65,-0.2075,1
5.2,8.25,-0.365,1
9.35,3.1,-0.135,1
6.05,3.95,-0.25,1
5.7,2.75,-0.2,1
6.45,7.85,-0.3175,1
9.15,2.65,-0.12,1
8.25,2.5,-0.125,1
4.7,7.85,-0.4375,1
5.7,4.7,-0.295,1
5.4,8.15,-0.385,1
9.55,4.65,-0.175,1
6.9,5.2,-0.2525,1
6.9,8.55,-0.295,1
4.85,8.1,-0.4075,1
9.15,9.45,-0.235,1
9.75,8,-0.205,1
8,7.75,-0.26,1
5,5.35,-0.36,1
5.45,4.95,-0.315,1
5,9.2,-0.4425,1
9.75,8.3,-0.1975,1
4.65,7.55,-0.4425,1
7.6,7.9,-0.26,1
4.75,6.15,-0.405,1
5.8,8.65,-0.3375,1
6.75,8.6,-0.32,1
7.95,9,-0.2425,1
3.95,3.45,-0.35,1
5.75,9.6,-0.3575,1
8.75,8.4,-0.215,1
7.25,8.55,-0.2975,1
4.65,4.9,-0.365,1
7.55,8.95,-0.275,1
9.05,8.1,-0.205,1
9.4,9.05,-0.2325,1
5.45,5.45,-0.3275,1
6.55,7.85,-0.2925,1
6.4,8.05,-0.2975,1
7.05,8.65,-0.2975,1
6.65,6.95,-0.2975,1
9.45,8.75,-0.205,1
7.6,7.75,-0.2575,1
9.05,6.75,-0.2175,1
6.15,7.6,-0.3325,1
4.95,6.7,-0.4025,1
6.5,7.75,-0.2925,1
8.85,9.4,-0.2525,1
9.65,8,-0.2075,1
6.35,7.95,-0.3125,1
7.15,9.4,-0.3075,1
5,8.2,-0.4,1
7.2,9.05,-0.2975,1
7.85,8.4,-0.265,1
9.25,7.85,-0.2175,1
7.15,8.45,-0.275,1
6.1,8.35,-0.3475,1
7.8,8.45,-0.2625,1
6.2,7.7,-0.295,1
4.95,9.2,-0.4425,1
5.6,5.35,-0.315,1
9.15,7.8,-0.2275,1
8.6,9.15,-0.2425,1
6.95,8.65,-0.285,1
3.6,2.75,-0.315,1
5.55,9.75,-0.3625,1
4.15,3.95,-0.365,1
7.5,9.5,-0.28,1
6.6,8.6,-0.29,1
8.35,8.3,-0.2525,1
7.4,2.05,-0.115,1
9.1,7.75,-0.225,1
7.45,8.45,-0.2675,1
7.95,3.15,-0.16,1
5.85,4.95,-0.29,1
6.5,8.8,-0.3175,1
6,7.8,-0.3425,1
7.3,3.6,-0.1925,1
8.05,8.25,-0.26,1
7.2,9.7,-0.2975,1
6.4,9.95,-0.32,1
5.55,9.25,-0.36,1
7.4,7.2,-0.275,1
4.45,5.15,-0.39,1
5.95,9.55,-0.345,1
7.75,9.25,-0.2625,1
7.5,4.95,-0.2275,1
4.9,6.05,-0.3825,1
8.35,5.45,-0.215,1
4.5,5.55,-0.4025,1
3.65,2.35,-0.27,1
7.85,4.5,-0.2075,1
4.55,3.85,-0.3275,1
8.6,9.8,-0.235,1
5.15,8.5,-0.3675,1
7.8,4.45,-0.2075,1
6.85,7.85,-0.285,1
8.1,9.5,-0.245,1
5.25,7.75,-0.3625,1
9.6,8.85,-0.215,1
6.05,10,-0.3375,1
5.35,8.6,-0.37,1
5.65,8.15,-0.3525,1
5.65,2.55,-0.1875,1
5.9,5.1,-0.295,1
6.4,5.2,-0.275,1
6.65,7.4,-0.305,1
8.05,7.8,-0.23,1
9,8.85,-0.2275,1
5.4,8.6,-0.39,1
5.15,5.7,-0.355,1
7.65,3.4,-0.1775,1
6.4,7.85,-0.32,1
6.6,3.4,-0.2075,1
6.1,5.7,-0.305,1
7.5,3.05,-0.165,1
7.15,8.4,-0.2925,1
7.15,7.25,-0.2875,1
6.4,9.65,-0.315,1
8.55,8.4,-0.25,1
6.05,9.35,-0.355,1
7.35,4.35,-0.2175,1
6.4,9.15,-0.31,1
9.3,4.25,-0.17,1
8.55,8.85,-0.24,1
5.25,7.8,-0.3625,1
8.9,8.2,-0.2375,1
6.8,8.4,-0.285,1
9,8.55,-0.24,1
7.15,7.3,-0.285,1
9.65,9.55,-0.2075,1
6.5,2.4,-0.1525,1
8.15,9.45,-0.27,1
5.45,8.55,-0.3625,1
8.2,8.75,-0.2425,1
5.75,9,-0.35,1
6.2,9.8,-0.3275,1
5.25,8.45,-0.3725,1
8.45,7.95,-0.23,1
5.4,9.15,-0.38,1
9,9,-0.245,1
6.95,8.4,-0.2925,1
7,8.45,-0.275,1
9,7.1,-0.2225,1
5.4,8.65,-0.4,1
8.35,3,-0.1475,1
4,2.5,-0.26,1
7.75,7.85,-0.25,1
5.25,8.05,-0.4025,1
7.05,10,-0.2925,1
5.9,5.95,-0.3175,1
6.8,5.3,-0.2625,1
6.35,9.25,-0.3075,1
5.9,3,-0.2075,1
7.65,8.45,-0.2525,1
6.9,4.35,-0.23,1
6.5,8.15,-0.2925,1
9.45,9.3,-0.2325,1
5.9,2.6,-0.185,1
7.65,6.2,-0.2475,1
8.65,7.7,-0.2125,1
8.45,2.05,-0.1,1
6.35,7.85,-0.3075,1
7.4,3.1,-0.1725,1
7.1,7.95,-0.2975,1
9.5,9.35,-0.2075,1
6.4,3.75,-0.225,1
5.4,6.95,-0.3725,1
6.05,9.4,-0.34,1
6.35,8.6,-0.31,1
6.25,4.8,-0.2675,1
8.3,9.85,-0.255,1
10,9,-0.1925,1
6.6,9.65,-0.305,1
9.6,5.35,-0.185,1
7.3,9.45,-0.2925,1
7,8.95,-0.315,1
3.75,2.9,-0.315,1
5.85,2.45,-0.175,1
6.9,7.45,-0.295,1
7.1,9.05,-0.2725,1
9.3,7.15,-0.215,1
6.25,8.05,-0.3325,1
4.4,5.55,-0.415,1
9.5,5.45,-0.19,1
